dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau21_s010:1110:800,mackey_glass_tau21_s010,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 21}",1110,v1,1,800,11,0.0,False,-2.283887364943179e-16,1.0,-0.5859110603633572,-0.45704756772104593,11.0,13.0,,False,0.9999682382569797,-0.0072077574274840295,20.58750670358553,True,0.3140745715455068,True,0.825656191162127,True,0.40176100635235285,0.014285714285714285,5.317951154477054e-07,0.001,0.95,0,1.358270845961053,True,0.4258495645772028,0.5982389936476471,0.08508536402051964,,,,,1.0,0.5232925587834737,0.5123785901130635,0.87476801322796,0.20939725261476008,-0.3623894231148965
mackey_glass_tau16_s011:1111:800,mackey_glass_tau16_s011,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 16}",1111,v1,1,800,9,0.0,False,-5.868321701590113e-16,1.0,-0.44083433140803957,-0.8289017872505258,9.0,12.0,,False,0.999965813424383,-0.007354266763429096,22.628938557458007,True,0.3308043386225312,True,0.5013506638654373,True,0.33514035118605023,0.02142857142857143,3.465886251570825e-07,0.001,0.95,0,1.17542261644478,True,0.4284368460324069,0.6648596488139498,0.08595611286607917,,,,,1.0,0.32939815283183743,0.26412321621177587,0.7765001866590828,0.1572634872145489,-0.5123769704473069
mackey_glass_tau37_s012:1112:800,mackey_glass_tau37_s012,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 37}",1112,v1,1,800,16,0.0,False,-9.516197353929913e-17,1.0,-0.3287986500659627,-0.8944647991622556,16.0,13.0,,False,0.9999752319343876,-0.01020085434743856,23.738953184236536,True,0.24575809506360335,True,0.38109294036269403,True,0.36718905079501324,0.007142857142857143,4.946594378667111e-07,0.001,0.95,0,1.5746512870425062,True,0.39406526086004545,0.6328109492049867,0.10112181966841233,,,,,1.0,0.6542091745397354,0.40109920958200984,0.7333086355313687,0.4090551563399137,-0.33220942594935887
mackey_glass_tau39_s013:1113:800,mackey_glass_tau39_s013,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 39}",1113,v1,1,800,16,0.0,False,5.075305255429287e-16,1.0,-0.5393351354540921,-0.7425523729689951,16.0,14.0,,False,0.9999703101045083,-0.04792260236218171,11.82731739505489,True,0.39597420810067385,True,0.6551531091168208,True,0.3818619073860327,0.010714285714285714,3.6445704398570896e-07,0.001,0.95,0,1.5242091010378445,True,0.4179962601642195,0.6181380926139672,0.2189801184072961,,,,,1.0,0.6714950546305904,0.6647114580082455,0.7692158498441685,0.7132289793728044,-0.10450439183592297
mackey_glass_tau27_s014:1114:800,mackey_glass_tau27_s014,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 27}",1114,v1,1,800,13,0.0,False,5.662137425588298e-16,1.0000000000000002,-0.6223163892943531,-0.3072206301234459,13.0,10.0,,False,0.9999702123889036,-0.0063792286859419844,20.436062261356778,True,0.3892231943612034,True,0.8462861065000906,True,0.4228620160045191,0.010714285714285714,4.891459423529521e-07,0.001,0.95,0,1.3971131457198376,True,0.4014311636616638,0.5771379839954809,0.0800563320233848,,,,,1.0,0.6587452131484172,0.9383176180474496,1.109054428346014,0.2441082992720017,-0.17073681029856436
mackey_glass_tau25_s015:1115:800,mackey_glass_tau25_s015,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 25}",1115,v1,1,800,12,0.0,False,-1.45915026093592e-16,1.0,-0.4366196057791811,-0.6773002017239929,12.0,12.0,,False,0.9999684821309605,-0.009289340611956076,17.417860397826548,True,0.3611278662521076,True,0.39383539581185056,True,0.42197469153404643,0.014285714285714285,3.895269965994112e-07,0.001,0.95,0,1.3969515203078648,True,0.4034586702284178,0.5780253084659536,0.09654459322507723,,,,,1.0,0.5669057599345644,0.4815597522223357,0.9468166538460823,0.18826016509493834,-0.46525690162374655
mackey_glass_tau36_s016:1116:800,mackey_glass_tau36_s016,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 36}",1116,v1,1,800,16,0.0,False,-1.5860328923216522e-16,1.0,-0.36083246116636314,-0.842851482946533,16.0,11.0,,False,0.9999759390085768,-0.011385812859434519,18.061016538856517,True,0.29341084162221953,True,0.09537114080409648,True,0.35490375161567794,0.007142857142857143,5.24198761935453e-07,0.001,0.95,0,1.5275091795327513,True,0.38560792604423944,0.6450962483843221,0.1068170110556259,,,,,1.0,0.6442980530636375,0.39399154627919725,0.7081121635033626,0.4124148913810493,-0.31412061722416534
mackey_glass_tau23_s017:1117:800,mackey_glass_tau23_s017,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 23}",1117,v1,1,800,11,0.0,False,-2.6010939434075097e-16,1.0,-0.46744885405683123,-0.6459727045634613,11.0,13.0,,False,0.9999637215696816,-0.004859131291858332,18.765761204896393,True,0.36896951280007695,True,0.8044812139685646,True,0.4436272530133425,0.014285714285714285,4.378709195765868e-07,0.001,0.95,0,1.3758395842745423,True,0.39048170932316334,0.5563727469866575,0.0699672046188553,,,,,1.0,0.5175538715416109,0.7333500146576944,1.0305336530212372,0.16558102919512818,-0.2971836383635428
mackey_glass_tau42_s018:1118:800,mackey_glass_tau42_s018,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 42}",1118,v1,1,800,18,0.0,False,1.0150610510858574e-16,1.0,-0.2922094253658005,-1.0563049126010824,18.0,14.0,,False,0.999944001148398,-0.013795732556809992,13.677074968672203,True,0.3227356699338366,True,0.5759591585661445,True,0.34597989189756534,0.007142857142857143,4.278218221622648e-07,0.001,0.9446554741089821,0,1.6063370176372294,True,0.3806551599803974,0.6540201081024346,0.11769337877897827,,,,,1.0,0.9997206966422958,1.352465483934475,1.4086357496462372,1.0511118906429011,-0.0561702657117622
mackey_glass_tau45_s019:1119:800,mackey_glass_tau45_s019,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 45}",1119,v1,1,800,16,0.0,False,1.7763568394002506e-16,1.0,-0.3282485377784937,-1.0230692550729168,16.0,15.0,,False,0.9999682611111156,-0.011889434966612433,14.80044315502642,True,0.3916951785057177,True,0.24454531077276626,True,0.39343275239704417,0.010714285714285714,3.50666805979256e-07,0.001,0.943174748218876,0,1.4893305242398536,True,0.4310688411694332,0.6065672476029558,0.10918412822153621,,,,,1.0,0.8827506302628018,0.4370709523092381,0.8273213187250232,0.8934924476651422,-0.39025036641578514
