family,n,mean_advantage,mean_ci_low,mean_ci_high,median_advantage,median_ci_low,median_ci_high,win_rate_gt_threshold,win_rate_ci_low,win_rate_ci_high
overall,1000,-0.20305132197751363,-0.22653421296208273,-0.18172367332819722,-0.06730441019593555,-0.08978283708367733,-0.04466379701262594,0.051,0.037,0.065
chaotic_flow,200,-0.35781618519286146,-0.42843411741972853,-0.2785380977108235,-0.1648844219678805,-0.2208157804643379,-0.13133420431465917,0.115,0.075,0.165
chaotic_map,200,-0.2017961152193405,-0.23658861184508817,-0.16915081410335536,-0.09724104818765539,-0.16351817604963043,-0.042795105884358496,0.005,0.0,0.015
colored_noise,20,-0.060238876211035665,-0.15604721895487214,0.010192456120068624,0.0,-0.026897592365855,0.0200271662352093,0.1,0.0,0.25
input_driven,100,-0.20052344025995222,-0.2308063984437024,-0.17191050170789599,-0.1609056544711032,-0.2005335236611573,-0.13304520890052268,0.0,0.0,0.0
linear_stochastic,60,-0.06367598317062421,-0.1319552368413356,-0.012702022928129011,-0.0157266582850612,-0.0284792095519252,-0.009952553353100923,0.1,0.03333333333333333,0.16708333333333295
long_range,40,-0.017570155981775488,-0.031070552213740457,-0.006114309888124458,-0.01447446989105145,-0.0220279148191805,-0.0047303397202895,0.025,0.0,0.075
nonlinear_stochastic,120,0.006763923545008066,0.001034143598151425,0.013576594705311232,0.00092676777560825,-0.00301744404209635,0.0044090249331618,0.05,0.016666666666666666,0.09166666666666666
nonstationary,140,-0.2862966131506602,-0.37272878571955237,-0.20684614673191123,-0.06994209500550165,-0.14238058814055482,-0.030274522606107364,0.08571428571428572,0.04285714285714286,0.1357142857142857
oscillatory,120,-0.2173210008304779,-0.2685797379387728,-0.17424924637695668,-0.13809613715099645,-0.1649620816958617,-0.1205999785301434,0.0,0.0,0.0
