feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
without_r2_linear,perm_entropy,0.14678102032989465,0.06991460740649942,0.28546163134109465,positive,0.06914467844229792,0.06914467844229792,
without_r2_linear,lyapunov,0.08378834293128803,0.0761934886588539,-0.24922872228416015,negative,-0.043481870400178806,0.043481870400178806,
without_r2_linear,snr_db,0.059631463965072594,0.0370122606657752,0.06708306526077587,positive,0.02553994055096201,0.02553994055096201,
without_r2_linear,nl_gain,0.0590442943344525,0.041326520173148036,-0.22869261955331033,negative,-0.13059042415478958,0.13059042415478958,
without_r2_linear,ami_first_min,0.04976967420076461,0.09105991315487383,-0.23085262171093615,negative,-0.005312273401976117,0.005312273401976117,
without_r2_linear,adf_p,0.04613832185367887,0.07088506435581146,-0.22598570960485767,negative,-0.10737307250858087,0.10737307250858087,
without_r2_linear,zero_one_K,0.035099618744099184,0.040710216379583664,0.11646543612899564,positive,-0.05657612979609371,0.05657612979609371,
without_r2_linear,ac_timescale,0.033296709998048166,0.03159448302322648,0.09271837357358752,positive,0.061732233049711635,0.061732233049711635,
without_r2_linear,pred_nrmse_gbm,0.03252435328048579,0.03126394468133748,0.03054853925073481,positive,0.003947636385246265,0.003947636385246265,
without_r2_linear,spectral_entropy,0.02606269979581302,0.023898048649798293,0.13527936858336764,positive,0.07643193313933741,0.07643193313933741,
without_r2_linear,dfa_alpha,0.012084370195956132,0.027904824455150412,-0.14673692016376977,negative,0.022766187881640053,0.022766187881640053,
without_r2_linear,sample_entropy,0.008816387757725726,0.04113555576398524,0.2515152831194672,positive,0.010944608008200228,0.010944608008200228,
without_r2_linear,dom_freq,0.008385943396013965,0.006083794866644171,0.08080262477519326,positive,0.013777415061107554,0.013777415061107554,
without_r2_linear,mem_capacity,0.003454452658125831,0.0023278030580936326,-0.034047920336295556,negative,-0.03626508844191507,0.03626508844191507,
without_r2_linear,kpss_p,-0.006457320435808089,0.029246082325134502,-0.027933883406767827,negative,0.022414893393799828,0.022414893393799828,
