source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
0,mackey_glass_tau34_s000,chaotic_flow,forecast,1100,800,15,0.4484220205301384,0.6692378009944764,0.9536754473349672,-0.22081578046433797,-0.5052534268048288,0.28443764634049085,0.28443764634049085,60,6,5,5,0
1,mackey_glass_tau42_s001,chaotic_flow,forecast,1101,800,17,1.0797190267078107,1.1189714531988113,1.183293475690601,-0.03925242649100058,-0.10357444898279033,0.06432202249178975,0.06432202249178975,60,6,5,5,0
2,mackey_glass_tau28_s002,chaotic_flow,forecast,1102,800,14,0.3348028955362906,0.6651495725334717,1.0669359972212835,-0.3303466769971811,-0.7321331016849929,0.4017864246878118,0.4017864246878118,60,6,5,5,0
3,mackey_glass_tau29_s003,chaotic_flow,forecast,1103,800,12,0.4469384422280919,0.8776630556648335,0.9220931278851277,-0.43072461343674157,-0.4751546856570357,0.04443007222029416,0.04443007222029416,60,6,5,5,0
4,mackey_glass_tau33_s004,chaotic_flow,forecast,1104,800,16,0.4128964198077183,0.5403929948523079,0.9373785602870868,-0.12749657504458956,-0.5244821404793685,0.3969855654347789,0.3969855654347789,60,6,5,5,0
5,mackey_glass_tau38_s005,chaotic_flow,forecast,1105,800,15,0.4641805468290697,0.6579210253828217,0.9662765595017443,-0.19374047855375204,-0.5020960126726746,0.3083555341189226,0.3083555341189226,60,6,5,5,0
6,mackey_glass_tau17_s006,chaotic_flow,forecast,1106,800,9,0.0261875246254009,0.19174611095744273,0.9314691873013254,-0.16555858633204185,-0.9052816626759246,0.7397230763438827,0.7397230763438827,60,6,5,5,0
7,mackey_glass_tau19_s007,chaotic_flow,forecast,1107,800,10,0.0260885905883877,0.1902988481921071,0.9078665993882877,-0.1642102576037194,-0.8817780087999,0.7175677511961807,0.7175677511961807,60,6,5,5,0
8,mackey_glass_tau20_s008,chaotic_flow,forecast,1108,800,10,0.0734896317402859,0.285683057038545,0.893583365745727,-0.21219342529825913,-0.8200937340054412,0.607900308707182,0.607900308707182,60,6,5,5,0
9,mackey_glass_tau31_s009,chaotic_flow,forecast,1109,800,14,0.5428844902739792,0.865590609595364,0.9810896359648723,-0.3227061193213848,-0.4382051456908931,0.11549902636950826,0.11549902636950826,60,6,5,5,0
10,mackey_glass_tau21_s010,chaotic_flow,forecast,1110,800,11,0.0739612620340749,0.31529153466374354,0.9418177431445616,-0.24133027262966866,-0.8678564811104866,0.6265262084808181,0.6265262084808181,60,6,5,5,0
11,mackey_glass_tau16_s011,chaotic_flow,forecast,1111,800,9,0.0124373049950521,0.14780594008081008,0.9523630031596194,-0.13536863508575797,-0.9399256981645673,0.8045570630788094,0.8045570630788094,60,6,5,5,0
12,mackey_glass_tau37_s012,chaotic_flow,forecast,1112,800,16,0.261211942396531,0.412883181141091,0.9351336804813289,-0.15167123874456,-0.6739217380847979,0.5222504993402379,0.5222504993402379,60,6,5,5,0
13,mackey_glass_tau39_s013,chaotic_flow,forecast,1113,800,16,0.5469523782581999,0.7100178962920877,0.9132649416395127,-0.1630655180338878,-0.3663125633813128,0.203247045347425,0.203247045347425,60,6,5,5,0
14,mackey_glass_tau27_s014,chaotic_flow,forecast,1114,800,13,0.263994254915819,0.627843937893128,1.0218051540849915,-0.36384968297730896,-0.7578108991691725,0.39396121619186353,0.39396121619186353,60,6,5,5,0
15,mackey_glass_tau25_s015,chaotic_flow,forecast,1115,800,12,0.1253817595468546,0.39278326391964574,0.9427129280221406,-0.26740150437279114,-0.817331168475286,0.5499296641024949,0.5499296641024949,60,6,5,5,0
16,mackey_glass_tau36_s016,chaotic_flow,forecast,1116,800,16,0.3015732783798672,0.4824929047080449,0.9241047162424294,-0.1809196263281777,-0.6225314378625622,0.4416118115343845,0.4416118115343845,60,6,5,5,0
17,mackey_glass_tau23_s017,chaotic_flow,forecast,1117,800,11,0.1441855215371417,0.26617170588628225,0.9858492714320192,-0.12198618434914055,-0.8416637498948775,0.7196775655457369,0.7196775655457369,60,6,5,5,0
18,mackey_glass_tau42_s018,chaotic_flow,forecast,1118,800,18,1.155920462411648,1.0154766852932462,0.9886647346320206,0.14044377711840172,0.16725572777962727,-0.026811950661225548,-0.026811950661225548,60,6,5,5,0
19,mackey_glass_tau45_s019,chaotic_flow,forecast,1119,800,16,0.9717256193691832,0.9891150262544777,0.9480705810015211,-0.017389406885294445,0.02365503836766214,-0.041044445252956585,-0.041044445252956585,60,6,5,5,0
20,lorenz63_rho30.09_s000,chaotic_flow,forecast,1200,800,15,0.3550676798281207,0.44142454534095577,0.9104021473105017,-0.08635686551283506,-0.555334467482381,0.46897760196954597,0.46897760196954597,60,6,5,5,0
21,lorenz63_rho43.24_s001,chaotic_flow,forecast,1201,800,14,0.6693849752954573,1.448780290088138,0.9721037742642743,-0.7793953147926806,-0.30271879896881704,-0.4766765158238636,-0.4766765158238636,60,6,5,5,0
22,lorenz63_rho23.42_s002,chaotic_flow,forecast,1202,800,7,3.384681422873742e-05,0.04592330177914348,0.9804671983905358,-0.04588945496491474,-0.9804333515763071,0.9345438966113923,0.9345438966113923,60,6,5,5,0
23,lorenz63_rho44.69_s003,chaotic_flow,forecast,1203,800,16,0.4995339988238061,2.0,1.0614537355223381,-1.5004660011761939,-0.561919736698532,-0.9385462644776619,-0.9385462644776619,60,6,5,5,0
24,lorenz63_rho30.88_s004,chaotic_flow,forecast,1204,800,16,0.8941264238131345,0.653323078374058,1.0170652834399398,0.24080334543907644,-0.1229388596268054,0.36374220506588184,0.36374220506588184,60,6,5,5,0
25,lorenz63_rho35.53_s005,chaotic_flow,forecast,1205,800,13,0.4085670247751078,0.4065743699751485,0.991089866622419,0.0019926547999593036,-0.5825228418473112,0.5845154966472705,0.5845154966472705,60,6,5,5,0
