rule,n,qrc_useful_rate,qrc_win_rate,mean_advantage
adf_p > 0.008 and ext_trend_strength > 0.484,187,0.32620320855614976,0.45454545454545453,2.50087263230212e-05
adf_p <= 0.008 and lyapunov > 1.815,105,0.24761904761904763,0.3238095238095238,-0.3040096899436554
adf_p > 0.008 and ext_trend_strength <= 0.484 and perm_entropy > 0.276,291,0.19243986254295534,0.24054982817869416,-0.05851323652844963
adf_p <= 0.008 and lyapunov <= 1.815 and r2_linear <= -0.308,100,0.13,0.19,-0.47607897404013927
adf_p > 0.008 and ext_trend_strength <= 0.484 and perm_entropy <= 0.276,202,0.04455445544554455,0.0594059405940594,-0.6997297629379663
adf_p <= 0.008 and lyapunov <= 1.815 and r2_linear > -0.308,4115,0.018955042527339004,0.17715674362089914,-0.13801284242856646
