split,model,mean_nrmse,median_nrmse,win_rate_vs_esn,mean_advantage_vs_esn
discovery,Linear ridge,0.7976226778756976,0.943300285860186,0.4753,0.004422292188437071
discovery,GBM,0.7814098476404026,0.9054216391600971,0.4044,0.020635122423732027
discovery,NVAR,0.8429028722755675,0.9588319600756048,0.354,-0.04085790221143287
discovery,Frozen ESN,0.8020449700641348,0.9178544617525467,0.0,0.0
discovery,QRC-M,0.90915178420987,0.9806966543884418,0.2182,-0.10710681414573531
discovery,QRC-E,0.9656037158812345,0.9993611640046648,0.1644,-0.16355874581709978
discovery,QRC-D,1.0455061300616506,1.0069612177130107,0.1384,-0.2434611599975159
discovery,Best QRC,0.8677199061731233,0.9600803337452342,0.3257,-0.06567493610898871
validation,Linear ridge,0.8019879149471156,0.9453177074572734,0.475,0.0029126292215267717
validation,GBM,0.7819158165507951,0.9072399365468454,0.3927,0.02298472761784735
validation,NVAR,0.8437748091529945,0.9615025704842414,0.3531,-0.03887426498435229
validation,Frozen ESN,0.8049005441686424,0.9199081072986577,0.0,0.0
validation,QRC-M,0.905119932960254,0.9809671633063501,0.2197,-0.10021938879161156
validation,QRC-E,0.9599725184433144,0.9979330541934504,0.1618,-0.15507197427467212
validation,QRC-D,1.0439454811968325,1.0071655312547216,0.1397,-0.23904493702819027
validation,Best QRC,0.8633193473460237,0.9593813225309147,0.3239,-0.058418803177381254
