split,n,n_families,n_base_generators,mean_best_qrc_advantage,median_best_qrc_advantage,best_qrc_win_rate,best_qrc_useful_rate,mean_nrmse_esn,mean_nrmse_best_qrc,mean_nrmse_nvar,best_variant_mode,mean_advantage_qrc_m,win_rate_qrc_m,useful_rate_qrc_m,mean_advantage_qrc_e,win_rate_qrc_e,useful_rate_qrc_e,mean_advantage_qrc_d,win_rate_qrc_d,useful_rate_qrc_d
discovery,10000,16,52,-0.06567493610898868,-0.01233026569827,0.3257,0.1176,0.8020449700641348,0.8677199061731233,0.8429028722755675,qrc_m,-0.10710681414573528,0.2182,0.0868,-0.16355874581709973,0.1644,0.0649,-0.2434611599975159,0.1384,0.0512
validation,10000,16,52,-0.05841880317738123,-0.01125411168093555,0.3239,0.1253,0.8049005441686424,0.8633193473460237,0.8437748091529945,qrc_m,-0.10021938879161155,0.2197,0.0936,-0.15507197427467212,0.1618,0.0689,-0.2390449370281902,0.1397,0.0548
