feature_dim,rho,leak,input_scale,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
63,0.7,0.3,0.3,0.8587462860064752,0.9679315234156173,0.9007529131985686,0.9833267648230817
63,0.7,0.3,1.0,0.8748514246364731,0.971353789485248,0.9168889726223416,0.989472940151084
63,0.7,0.6,0.3,0.8671024624718975,0.9638510705130725,0.8990426211942004,0.9787890666817649
63,0.7,0.6,1.0,0.8777274935745887,0.967609467335528,0.9138430518249901,0.9816761400820198
63,0.7,1.0,0.3,0.889406888241869,0.9762126603089396,0.926691577007921,0.9819439021715958
63,0.7,1.0,1.0,0.8971261979456464,0.9789175689781773,0.926974897375989,0.9828996824071382
63,0.9,0.3,0.3,0.866578437838046,0.9664587600855512,0.9128050831783969,0.9817761100248323
63,0.9,0.3,1.0,0.877680022769367,0.9718316860979492,0.9233752596058352,0.986997312187206
63,0.9,0.6,0.3,0.8625515602744744,0.9644620418520253,0.9039894196818663,0.9785542708759892
63,0.9,0.6,1.0,0.8818215721490901,0.9699496391266527,0.9160923836557995,0.9790013212886348
63,0.9,1.0,0.3,0.8958856671628534,0.9790204667560483,0.9351238675740007,0.9827808896665681
63,0.9,1.0,1.0,0.9038189174486106,0.9813325374227898,0.9283745525401172,0.9820393173751781
63,1.1,0.3,0.3,0.8717436852361345,0.9663600490240909,0.9107707916694316,0.9825165884279818
63,1.1,0.3,1.0,0.8886633478874622,0.9749735604423151,0.9270835790540399,0.9874936219434712
63,1.1,0.6,0.3,0.8800788555432277,0.9635458248016597,0.9259962099011088,0.9777049911898991
63,1.1,0.6,1.0,0.8905924753425045,0.9771142579803073,0.9254074124705166,0.9830286079377464
63,1.1,1.0,0.3,0.9128382655588613,0.9799882606990187,0.9461925447089911,0.9803541336085977
63,1.1,1.0,1.0,0.9190914452434509,0.9873013209042689,0.9433389158742373,0.9825570985631342
