n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
6,0.8,1.0,0.15,5,5,False,0.0,0.0,60,0.9154127181208616,0.9687967323431323,0.9288369686653606,0.9527272911063778
6,0.8,1.0,0.15,5,5,False,0.0,0.005,60,0.9819809719338832,0.97908920788538,0.986230939490048,0.988392068224655
6,0.8,1.0,0.15,5,5,False,0.005,0.0,60,0.9956208728884915,0.9639282408806072,1.1139649343510336,0.9982188943935392
6,0.8,1.0,0.15,5,5,False,0.005,0.005,60,0.9879157927662944,0.994022133188637,1.0084683160402297,1.0074141877598055
6,0.8,1.0,0.2,5,5,False,0.0,0.0,60,0.9153373637082722,0.9830298577444292,0.9816386388197684,0.9761318947765928
6,0.8,1.0,0.2,5,5,False,0.0,0.005,60,1.0411624319975417,0.9958675687040396,0.9728654366549506,0.9791017298707422
6,0.8,1.0,0.2,5,5,False,0.005,0.0,60,0.9829398478984764,0.9930306965231772,0.9730121154380516,0.9748518235655396
6,0.8,1.0,0.2,5,5,False,0.005,0.005,60,1.0145607686671136,0.9987483745744392,0.9900550137990912,0.9826069284895996
6,0.8,1.0,0.25,5,5,False,0.0,0.0,60,0.9587537125958432,0.9551942387608492,0.96341426759674,0.9962152655583236
6,0.8,1.0,0.25,5,5,False,0.0,0.005,60,1.030080648890399,0.9850877843284876,0.99808207945336,0.9817627015478912
6,0.8,1.0,0.25,5,5,False,0.005,0.0,60,1.0224772527255586,0.9985343636375236,0.9994114010337198,0.9934304061864642
6,0.8,1.0,0.25,5,5,False,0.005,0.005,60,1.0046363161689438,0.9948578703097568,0.9919778267385054,0.9706807739909608
6,1.0,1.0,0.15,5,5,False,0.0,0.0,60,0.9305831015103152,0.9915523035092132,0.9200154509439208,0.9556808267350306
6,1.0,1.0,0.15,5,5,False,0.0,0.005,60,0.9786120400949624,0.991001340422538,0.980324050235585,1.010378151392317
6,1.0,1.0,0.15,5,5,False,0.005,0.0,60,0.9854853436249016,0.9981256145030504,1.0327914779220442,1.0053943437015005
6,1.0,1.0,0.15,5,5,False,0.005,0.005,60,0.9810595349330704,0.9999419468780364,0.9951223646337384,0.9953691355432112
6,1.0,1.0,0.2,5,5,False,0.0,0.0,60,0.9214841423231526,0.968968520393282,0.9669189648667744,0.959730331111611
6,1.0,1.0,0.2,5,5,False,0.0,0.005,60,1.0071196934774056,0.9945962975984288,0.9675919537503276,0.9789931918129804
6,1.0,1.0,0.2,5,5,False,0.005,0.0,60,0.9738218653556978,0.9850360395378244,0.9439438956056933,0.9763503882613804
