rho,leak,input_scale,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
0.7,0.1,0.3,0.8781269594271808,0.9808834027464869,0.9898060681387231,0.9820154897358757
0.7,0.1,1.0,0.8925866132412067,0.9924563295535057,0.9747905817081371,0.9980466874246118
0.7,0.1,2.0,0.8760213248467612,0.9894084964198243,0.9824209154557079,1.0056403662723237
0.7,0.3,0.3,0.8473662519612495,0.9421049623189324,0.9246582988763212,0.9748550161729443
0.7,0.3,1.0,0.8276979663765613,0.9490895974794165,0.951103647747037,0.9841232482667258
0.7,0.3,2.0,0.8425621849959197,0.9552040726007726,0.9332064950269158,0.9717794604755214
0.7,0.6,0.3,0.7747666680550915,0.9235873734178099,0.8312677552370127,0.8949899608414251
0.7,0.6,1.0,0.8655920994330659,0.9239451552443992,0.874165467682148,0.9528828277942076
0.7,0.6,2.0,0.8231934700275847,0.9158767058444757,0.8697330624249211,0.9557006114113895
0.7,1.0,0.3,0.8656232396512963,0.9257706297132473,0.8630229155036239,0.9119101222681328
0.7,1.0,1.0,0.8607243354266677,0.9153983679387736,0.8325088664339145,0.9084816402141478
0.7,1.0,2.0,0.8437572710967712,0.9096612758118376,0.87774728001853,0.9416679282987868
0.9,0.1,0.3,0.8748032454541934,0.9789661062994619,1.0004530168692445,0.9973411608090272
0.9,0.1,1.0,0.8668861615916879,0.9861117527800032,1.0122751511006542,0.9894946891353817
0.9,0.1,2.0,0.8749292657281632,0.9963923983575748,0.974365767824253,1.0043499323721679
0.9,0.3,0.3,0.8435142984132971,0.943643717988595,0.9210299489196427,0.9651805664503175
0.9,0.3,1.0,0.8287225308526678,0.9509073104976304,0.9536536527883314,0.9850202855267551
0.9,0.3,2.0,0.8449327533772986,0.9578103967024284,0.9436241350290466,0.9740491048905477
0.9,0.6,0.3,0.8436433331422437,0.9458269936428717,0.8409610053058099,0.9011467337677533
0.9,0.6,1.0,0.8079758893939551,0.9371690666089605,0.8759405157083455,0.9672750809259265
0.9,0.6,2.0,0.8251237979354007,0.9291657311657793,0.8745565370773944,0.9480755162188776
0.9,1.0,0.3,0.8909071172203902,0.9300603473358888,0.9092730046010645,0.9342423437313285
0.9,1.0,1.0,0.8372010476927041,0.9206455153025106,0.8742735508120105,0.9596920845799259
0.9,1.0,2.0,0.8523499078615993,0.9146725179844024,0.8749847863868732,0.9421876373366231
1.0,0.1,0.3,0.924951478035474,0.9833313971464743,1.0265076022183017,0.9973164253497553
1.0,0.1,1.0,0.926486776589897,0.9921488074384934,0.984071909452044,1.0005383007017838
1.0,0.1,2.0,0.8847334435946208,0.9993921741501467,0.9622919064535709,0.9948987102032515
1.0,0.3,0.3,0.8694274129342767,0.945928601390025,0.9593300368610386,0.9660632315442135
1.0,0.3,1.0,0.8427463909799546,0.951699867056166,0.9455885535077184,0.985086677424248
1.0,0.3,2.0,0.8536188274905936,0.9613591487084509,0.9401680001802829,0.9746264877641321
1.0,0.6,0.3,0.7906448426423573,0.9485195736545594,0.8201452693493676,0.9104820997232956
1.0,0.6,1.0,0.8163671219134572,0.9442091495531936,0.8961403957976717,0.984034911329866
1.0,0.6,2.0,0.8316698068243458,0.9376329869510561,0.8842687800610529,0.9669936518256284
1.0,1.0,0.3,0.9390059313772553,0.9794468644593456,0.9345710526111021,0.9656236889966303
1.0,1.0,1.0,0.8352182960044987,0.9240158866068549,0.8994607993174566,0.9487200015719379
1.0,1.0,2.0,0.8603921043871037,0.917525629983724,0.879351493553368,0.9277328071397448
1.1,0.1,0.3,0.932364104632151,0.9933789011092546,1.0564538559173795,0.9887720119772905
1.1,0.1,1.0,0.87636785510733,0.9827555587414195,0.9936633489471621,1.0006281301936746
1.1,0.1,2.0,0.904709150532726,0.9899247234926875,0.9895596105728355,0.9955481747818202
1.1,0.3,0.3,0.8503457952099693,0.9527876415606862,0.9443259959149272,0.9761656742523552
1.1,0.3,1.0,0.8865233445565298,0.95363596847887,0.9647708439865252,0.9854867712783463
1.1,0.3,2.0,0.8463379728185907,0.9636612848938969,0.9237398830014636,0.9761485221102291
1.1,0.6,0.3,0.8034260608127921,0.9547356265553797,0.8411468379524056,0.923983683824314
1.1,0.6,1.0,0.815464348754249,0.9462751149891739,0.8883362811267546,0.9769979179830366
1.1,0.6,2.0,0.8421943000198719,0.943637063296902,0.8905379896896186,0.969557353504847
1.1,1.0,0.3,0.9364897202793143,0.9911554333440298,0.9382865294941838,0.9458433989015076
1.1,1.0,1.0,0.8472143328449636,0.9275907097070761,0.9166330920000081,0.9469611249498757
1.1,1.0,2.0,0.866254431584089,0.9235741810584426,0.881385612596048,0.9119511013031639
1.3,0.1,0.3,0.954972515230321,0.9935063823656309,1.0808265123637106,0.9947512988711119
1.3,0.1,1.0,0.9084275336160926,1.0023183464613483,1.0018755603990128,1.0097684014350778
1.3,0.1,2.0,0.9196806427568704,0.9897931485703773,0.9902965739009639,0.9946487204732077
1.3,0.3,0.3,0.8710303358807686,0.9648615489006842,0.9432156402786229,0.9804378869403785
