model_suite,n_rows,n_features_declared,n_features_used,qrc_win_rate,qrc_useful_rate,mean_advantage,median_advantage,regression_r2_mean,regression_mae_mean,classification_roc_auc_mean,classification_pr_auc_mean,classification_brier_mean,top_features,notes,metric_scope
frontier_30_tier_a,10000,30.0,26.0,0.2129,0.0595,-0.1189877135062418,-0.0258009955336446,0.3727311410543056,0.1162171089440405,0.8173557780368925,0.2637726271984825,0.0498035767303142,"ext_trend_strength,ext_psd_slope,pred_nrmse_gbm,ext_spectral_centroid,nl_gain,ac_timescale,lyapunov,ext_volatility_ac1",SHAP not available; skipped SHAP importances,discovery_cv
frontier_30_tier_a,10000,30.0,25.0,0.2176,0.0601,-0.1161951322188334,-0.0239547303477445,0.378874255922576,0.1138739496071644,0.8034229600828278,0.2172919430457731,0.0521955084679852,"ext_psd_slope,ext_trend_strength,snr_db,ext_volatility_ac1,nl_gain,lyapunov,dfa_alpha,spectral_entropy",SHAP not available; skipped SHAP importances,validation_cv
,10000,,,0.2176,0.0601,-0.1161951322188334,-0.023954730347744597,0.38197775189678473,0.11462683605069442,0.806973393813446,0.24016860184926098,0.0511941942808912,,"trained on discovery, scored once on validation",discovery_train_to_validation
