subset_group,n,mean_original_nrmse_advantage,mean_nrmse_advantage_rerun,mean_nmae_advantage,nrmse_useful_rate,nmae_useful_rate,qrc_beats_nvar_nrmse_rate,qrc_beats_nvar_nmae_rate,corr_nrmse_vs_nmae_advantage
overall,80,-0.12128579831084196,-0.27877236627176927,-0.2367916057438569,0.0,0.0,0.225,0.2125,0.9717794410347858
background_control,20,-0.09478600486919211,-0.07892729438804769,-0.0661278226392505,0.0,0.0,0.55,0.55,0.9733548520179971
chaotic_control,20,-0.18092797612982406,-0.18704585350262842,-0.16664984045608144,0.0,0.0,0.05,0.05,0.9984961522301091
periodic_control,20,-0.09384501902982512,-0.27831726464561335,-0.2507673537564278,0.0,0.0,0.1,0.05,0.9940298901417021
target_pocket,20,-0.11558419321452648,-0.5707990525507876,-0.46362140612366787,0.0,0.0,0.2,0.2,0.9384565413178615
