dataset_id,name,family,subset_group,original_qrc_advantage_nrmse,nrmse_qrc_spin_rerun,nrmse_esn_frozen_rerun,nrmse_advantage_rerun,nmae_qrc_spin,nmae_esn_frozen,nmae_advantage,nrmse_nvar,nmae_nvar,nrmse_qrc_vs_nvar_advantage,nmae_qrc_vs_nvar_advantage
colored_noise_b1.446_s211_v4_time_warped:76711:800,colored_noise_b1.446_s211_v4_time_warped,colored_noise,target_pocket,0.0587623334398859,0.8609770355009323,0.16786319578254813,-0.6931138397183841,0.5602283211835575,0.13238052335687556,-0.4278477978266819,0.15852579962542776,0.1280273108641197,-0.7024512358755045,-0.4322010103194378
lorenz63_rho35.81_s409_snr5db:9909:800,lorenz63_rho35.81_s409_snr5db,chaotic_flow,target_pocket,-0.0545612957042258,0.6878419179399885,0.5934404675808601,-0.09440145035912839,0.5537929761095718,0.4783041719781916,-0.0754888041313802,0.6482565061355966,0.5325907028203295,-0.0395854118043919,-0.02120227328924229
lorenz63_rho45.80_s233_snr10db:9733:800,lorenz63_rho45.80_s233_snr10db,chaotic_flow,target_pocket,-0.1435274502143605,0.45310035399598303,0.39967381555798764,-0.053426538437995386,0.357752306011219,0.3185301437623655,-0.0392221622488535,0.4813081795861479,0.38655034335369265,0.02820782559016488,0.02879803734247366
colored_noise_b1.332_s449_v4_time_warped:76949:800,colored_noise_b1.332_s449_v4_time_warped,colored_noise,target_pocket,-0.0034431807504824,2.0,0.2280607642742802,-1.7719392357257198,2.0,0.18498984131364654,-1.8150101586863534,0.25183969196064865,0.20550366038207832,-1.7481603080393513,-1.7944963396179217
v4_multiscale_p157_38_1213:64213:800,v4_multiscale_p157_38_1213,multiscale_composite,target_pocket,-0.4218309449231986,0.2549931794604457,0.22956282094652647,-0.025430358513919227,0.17311689220753657,0.1600366042379849,-0.013080287969551657,0.22102384319993038,0.1556523496083207,-0.03396933626051532,-0.01746454259921587
v4_unit_root_d-0.010_s476:64476:800,v4_unit_root_d-0.010_s476,unit_root_trend,target_pocket,-0.4768836163343384,1.274451726026512,0.5393229873374644,-0.7351287386890476,1.053778322880927,0.4164935231733849,-0.6372847997075421,0.622589799344403,0.4999003617502683,-0.6518619266821091,-0.5538779611306587
v4_unit_root_d0.000_s229:64229:800,v4_unit_root_d0.000_s229,unit_root_trend,target_pocket,-0.1422431837295084,1.640831288239375,0.24850287797208837,-1.3923284102672866,1.337413485385647,0.20574201401033934,-1.1316714713753075,0.26939441762663363,0.22543546814865306,-1.3714368706127413,-1.111978017236994
regime_switch_ar_p0.010_s221_v4_observation_noise:77721:800,regime_switch_ar_p0.010_s221_v4_observation_noise,regime_switching,target_pocket,-0.2679394695401342,0.8311154954398093,0.531225021142414,-0.29989047429739535,0.656289901553215,0.4104954555774456,-0.24579444597576938,0.7652876203442182,0.5770374913957457,-0.06582787509559118,-0.07925241015746931
v4_unit_root_d0.005_s536:64536:800,v4_unit_root_d0.005_s536,unit_root_trend,target_pocket,0.0,1.8471385097180288,0.4510251443714293,-1.3961133653465996,1.5862391040146402,0.37277508157752676,-1.2134640224371134,0.2001674495937227,0.1554677510016332,-1.6469710601243062,-1.430771353013007
v4_unit_root_d0.004_s720:64720:800,v4_unit_root_d0.004_s720,unit_root_trend,target_pocket,0.0,1.1047464216141634,0.24657489792244183,-0.8581715236917216,0.874923160818702,0.19901432628587923,-0.6759088345328228,0.3164329121847866,0.2505936407707642,-0.7883135094293767,-0.6243295200479378
arima_rw_d0.003_s364:4464:800,arima_rw_d0.003_s364,unit_root_trend,target_pocket,0.2759879193655621,0.6301828847685467,0.37577896057145554,-0.2544039241970911,0.5222811705941847,0.30298129024576287,-0.2192998803484218,0.3997741836554079,0.31791487183157585,-0.23040870111313877,-0.2043662987626088
lorenz63_rho28.31_s312_v4_observation_noise:70812:800,lorenz63_rho28.31_s312_v4_observation_noise,chaotic_flow,target_pocket,-0.4091530624178922,0.34307351271191416,0.28631292945194686,-0.0567605832599673,0.27235119847065703,0.22718023875077661,-0.045170959719880416,0.3918106660527834,0.3168177439314419,0.048737153340869255,0.04446654546078488
v4_unit_root_d0.015_s681:64681:800,v4_unit_root_d0.015_s681,unit_root_trend,target_pocket,0.0,2.0,0.8230713984403347,-1.1769286015596654,2.0,0.7006650475873218,-1.299334952412678,0.2558929980121402,0.20397261838061595,-1.7441070019878597,-1.7960273816193841
colored_noise_b1.509_s004:2404:800,colored_noise_b1.509_s004,colored_noise,target_pocket,0.0191968534049891,2.0,0.42634778933974127,-1.5736522106602586,1.0355193355065058,0.33567022904327487,-0.6998491064632308,0.48260355852425424,0.3887697840749289,-1.5173964414757457,-0.6467495514315769
v4_unit_root_d0.002_s170:64170:800,v4_unit_root_d0.002_s170,unit_root_trend,target_pocket,0.0,0.48605862999551774,0.1263605687040181,-0.3596980612914996,0.35077063389319046,0.09876339147588041,-0.25200724241731004,0.12417217612261962,0.10018488169437773,-0.36188645387289814,-0.25058575219881274
colored_noise_b1.515_s288:2688:800,colored_noise_b1.515_s288,colored_noise,target_pocket,-0.0492938458653984,0.805137898130614,0.5341230196905686,-0.27101487844004535,0.586004058304686,0.420657724348762,-0.16534633395592407,0.5554832500266025,0.43756854042820736,-0.2496546481040115,-0.14843551787647868
rossler_c8.56_s218_v4_observation_noise:71218:800,rossler_c8.56_s218_v4_observation_noise,chaotic_flow,target_pocket,-0.3753106095415137,0.3032564967183978,0.16471372603620846,-0.13854277068218937,0.24404160613759396,0.1330512288554713,-0.11099037728212266,0.17636139070615825,0.14274308571302005,-0.12689510601223958,-0.1012985204245739
v4_multiscale_p425_28_1245:64245:800,v4_multiscale_p425_28_1245,multiscale_composite,target_pocket,-0.1494829766190312,0.40581633888784735,0.38434943519611897,-0.02146690369172838,0.23058872378400422,0.19643667415308785,-0.034152049630916365,0.46700276884250386,0.28821193099003617,0.06118642995465651,0.05762320720603195
v4_colored_noise_b0.842_486:67486:800,v4_colored_noise_b0.842_486,colored_noise,target_pocket,-0.0322647321810134,0.8732632543090663,0.8380560088929282,-0.03520724541613807,0.6899313386628669,0.6608031804389398,-0.029128158223927114,0.8743748144461085,0.7067772594998969,0.0011115601370422779,0.01684592083702996
colored_noise_b1.622_s064:2464:800,colored_noise_b1.622_s064,colored_noise,target_pocket,-0.13969660267987,0.4877944812876907,0.27943254451772076,-0.20836193676996995,0.3730731728080179,0.23069689568044804,-0.14237627712756984,0.2667496521117893,0.2180133354351765,-0.2210448291759014,-0.15505983737284137
