J,h,dt,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
0.8,1.0,0.2,0.0,0.0,60,0.8453850017466346,0.9512416490542068,0.8974050096971293,0.9698014315957555
0.8,1.0,0.2,0.0,0.01,60,1.0645179974731909,1.0071668427995157,1.085060846967133,1.0073964754611615
0.8,1.0,0.2,0.02,0.0,60,1.0495875267317585,1.0098414597722067,1.0930136192684903,1.0074880888414341
0.8,1.0,0.2,0.02,0.01,60,1.084681313926225,1.0233513301129542,1.1134479319445787,1.0128692506342554
0.8,1.0,0.25,0.0,0.0,60,0.8714269771712952,0.9837187009262525,0.9167584181105166,0.9777276758299678
0.8,1.0,0.25,0.0,0.01,60,1.0624367538998603,1.0030310854195505,1.0973557422888205,1.0136412469896712
0.8,1.0,0.25,0.02,0.0,60,1.0602162724092454,1.0072091857226542,1.0901792352273516,1.0022958294805329
0.8,1.0,0.25,0.02,0.01,60,1.0838506142838018,1.0150350871860554,1.113815244346652,1.0206754784239642
1.0,1.0,0.2,0.0,0.0,60,0.8353691977678082,0.9670962420232339,0.8772872873498039,0.9407734646670922
1.0,1.0,0.2,0.0,0.01,60,1.0486743953086024,0.9979435413818841,1.0855594924910725,1.0011488253272938
1.0,1.0,0.2,0.02,0.0,60,1.0443414143302916,1.0055709744076453,1.0827222962949583,1.0013042724496928
1.0,1.0,0.2,0.02,0.01,60,1.0779529678817465,1.01420152313667,1.1099674637448682,1.0056663058581465
1.0,1.0,0.25,0.0,0.0,60,0.9197716188578687,0.9853183636224323,1.0513394714741933,0.9972355799341321
1.0,1.0,0.25,0.0,0.01,60,1.054364637992574,1.0128816418140938,1.0806303346133999,1.0137804504562102
1.0,1.0,0.25,0.02,0.0,60,1.0535859570657566,1.004432186014175,1.0981745064915798,1.0056101001347988
1.0,1.0,0.25,0.02,0.01,60,1.0795377385350151,1.0179461397338394,1.1163580293251754,1.0120305036231445
1.2,1.0,0.2,0.0,0.0,60,0.8251114618167826,0.9391078475867761,0.8721110297151947,0.94320293922033
1.2,1.0,0.2,0.0,0.01,60,1.039747444950587,0.9901580456095037,1.081805552137604,0.9921679449836793
1.2,1.0,0.2,0.02,0.0,60,1.0520948719691414,1.007606846205052,1.0763090921021454,0.9877381173464332
1.2,1.0,0.2,0.02,0.01,60,1.066273075076574,0.9984918906228146,1.1118928848362326,1.012524297088671
1.2,1.0,0.25,0.0,0.0,60,0.9258212115054917,0.9949513212586988,0.9435465310167416,0.9748717280537983
1.2,1.0,0.25,0.0,0.01,60,1.0384099943760925,1.0147380238336317,1.0900463135489495,1.0073436523947228
1.2,1.0,0.25,0.02,0.0,60,1.0538105010890852,1.0121286268130734,1.0967968216487851,0.9997769454881169
1.2,1.0,0.25,0.02,0.01,60,1.0760390263953306,1.0131437716320937,1.1080353929103686,1.0084629917007477
