dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
standard_map_k0.94_s157:3557:800,standard_map_k0.94_s157,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.9432998995179768, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3557,v2,1,800,2,0.0,False,2.835033795024953e-17,1.0,-0.0018779725882424752,-1.5934106990839447,2.0,2.0,,False,0.9999999900932348,-0.0006591796368824454,56.90912696905435,True,,False,-0.07510043826568576,True,0.1568064087213937,0.15178571428571427,2.1992410386945316e-09,0.001,0.95,0,0.027065918511651407,True,0.693624389835655,0.2903006200856606,0.06725290945455567,0.8431935912786063,9.953273411913287e-05,0.025674686826670942,-0.02557515409255181,,,,,1.0,1.3341036778265536e-06,8.404562613092217e-06,5.5314653476060056e-06,0.01821524309717598,2.8730972654862115e-06
standard_map_k1.50_s159:3559:800,standard_map_k1.50_s159,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.5035703658419957, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3559,v2,1,800,1,0.0,False,2.0221919377101065e-17,1.0,0.00019012463485058195,-1.5300893993921054,1.0,4.0,,False,0.9999999997729948,-0.0007326266374940715,47.36383483339121,True,0.0018316356553460698,True,0.09504342469463448,True,0.154199022345618,0.20714285714285713,3.2911219981051257e-12,0.018311991416019795,0.0020026768190027945,0,0.011827327619685081,True,0.7237163065132908,0.0902200502833967,-0.05509327472189991,0.845800977654382,1.5066689678536751e-05,0.027067080827072564,-0.027052014137394026,,,,,1.0,5.809162283152026e-07,1.3634244872182481e-06,5.748664164702941e-06,0.01751693100838061,-4.385239677484693e-06
standard_map_k0.90_s161:3561:800,standard_map_k0.90_s161,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.9010342027525511, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3561,v2,1,800,2,0.0,False,3.172065784643304e-17,1.0,-0.0017884528312027952,-1.6464442870206184,2.0,2.0,,False,0.9999999909541482,-0.0006151559366522896,60.56918707969341,True,,False,0.007312279189940235,True,0.1604397434822899,0.14285714285714285,5.694090597310308e-09,0.001,0.95,0,0.020435681695883272,True,0.6814340654222593,0.43167106405083333,0.003118025506849097,0.83956025651771,9.510968343300576e-05,0.0248025196805513,-0.024707409997118297,,,,,1.0,4.258107213498381e-06,3.184331797758459e-05,1.0539714134030906e-05,0.010376240301690135,2.1303603843553687e-05
standard_map_k0.92_s163:3563:800,standard_map_k0.92_s163,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.9171225101938296, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3563,v2,1,800,2,0.0,False,3.8857805861880476e-17,1.0000000000000002,0.005953519897215772,-1.5597358862753778,2.0,2.0,,False,0.9999999744443336,-0.0007869397484361329,51.76493350306178,True,0.007058498332131966,True,-0.029230082132625644,True,0.1548211136423204,0.15357142857142855,3.4932575422447674e-09,0.001,0.95,0,0.025394307897940845,True,0.6952368527024285,0.23763418676649947,0.0724736621055273,0.8451788863576796,0.0001598613973692168,0.02805290188380627,-0.02789304048643705,,,,,1.0,5.831315876080936e-07,5.912937812039116e-06,8.36781577844411e-06,0.014728789764759161,-2.4548779664049935e-06
standard_map_k1.12_s164:3564:800,standard_map_k1.12_s164,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.119111050248744, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3564,v2,1,800,4,0.0,False,2.2997476938663958e-17,1.0,-0.004004952066593653,-1.502295926709739,4.0,4.0,,False,0.9999999480413313,-0.0009081910940930138,52.65991878563981,True,,False,0.06328929217577327,True,0.15350039095947884,0.17678571428571427,6.119543844860248e-10,0.001,0.95,0,0.015768932671641363,True,0.7171241209847276,0.12253634815201482,-0.0352377077998261,0.8464996090405211,0.00022794444217769043,0.030137071071384768,-0.029909126629207076,,,,,1.0,8.579781837752067e-08,1.1163533347696725e-07,2.511139010352013e-06,0.017482378795354192,-2.399503676875046e-06
standard_map_k0.91_s170:3570:800,standard_map_k0.91_s170,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.907749401374048, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3570,v2,1,800,2,0.0,False,-2.2204460492503132e-17,1.0,7.957791745753793e-05,-1.8641155032318777,2.0,2.0,,False,0.9999937514497252,-0.0008543457287446543,43.00406113481573,True,0.016335465488733634,True,0.12010299763115068,True,0.19489343040716559,0.125,6.22807129580963e-10,0.001,0.001,0,0.05688337466295583,True,0.6538097294766332,0.1918381047549415,0.12358645520146905,0.8051065695928344,0.0024997100381276933,0.029335887220593725,-0.02683617718246603,,,,,1.0,0.00022276594947644006,0.0004524097264903142,0.0034036228041244205,0.025576719229651518,-0.0029512130776341064
standard_map_k1.37_s175:3575:800,standard_map_k1.37_s175,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.3712688035453557, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3575,v2,1,800,2,0.0,False,4.4408920985006264e-17,1.0,5.069832058163823e-05,-1.9743257085231787,2.0,2.0,,False,0.9999892088151778,-0.0006045199089427244,54.26142400259623,True,,False,0.10410703315096734,True,0.2467215649693906,0.125,8.937440469601984e-08,0.001,0.001,0,0.05435075273562042,True,0.7884621122078844,0.47247340504881696,0.11871521695360139,0.7532784350306094,0.0032849938846426997,0.02480546499795704,-0.02152047111331434,,,,,1.0,0.007919411231074548,0.004360258499995712,0.010192634176384845,0.022251960093597246,-0.005832375676389133
standard_map_k1.89_s176:3576:800,standard_map_k1.89_s176,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.890887069693097, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3576,v2,1,800,1,0.0,False,3.211716606951346e-17,1.0,0.006412326374200816,-1.6456120721169911,1.0,3.0,,False,0.9999999826709898,-0.0005338064111041207,40.194068245263175,True,0.0006665724960961281,True,0.024480232791533416,True,0.16053173847566948,0.225,1.0683800355708365e-08,0.001,0.95,0,0.010669379088691333,True,0.7139690913778454,0.11255094359522894,0.03283637861515926,0.8394682615243305,0.00013163969867411912,0.02310462594621135,-0.02297298624753723,,,,,1.0,2.8025928095927093e-06,1.0816453436181316e-05,2.5341786088311594e-05,0.018113028052726684,-1.4525332652130279e-05
standard_map_k0.71_s178:3578:800,standard_map_k0.71_s178,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.705938917384589, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3578,v2,1,800,2,0.0,False,-1.586032892321652e-17,1.0,-0.008699974920281817,-1.5913529470238357,2.0,2.0,,False,0.9999999792231598,-0.0005377621648705588,63.92590301569469,True,,False,-0.0272876436535923,True,0.15634756979532474,0.13035714285714287,2.822764676610566e-09,0.001,0.8180578185612017,0,0.04992329160711111,True,0.6630294865957812,0.34769125200001744,0.05408231699277521,0.8436524302046753,0.00014414173670510106,0.02319014751377886,-0.02304600577707376,,,,,0.0,1.3274807148594603e-06,5.1087531520978505e-06,1.8703254822497945e-05,0.015412461150656517,-1.3594501670400096e-05
standard_map_k1.39_s179:3579:800,standard_map_k1.39_s179,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.392612631623884, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3579,v2,1,800,1,0.0,False,9.516197353929913e-18,0.9999999999999999,-0.004683087137615172,-1.5027008254331153,1.0,4.0,,False,0.9999999820324478,-0.0007456687151694563,50.48886535011946,True,,False,0.6297374223123268,True,0.15320344255635157,0.19999999999999998,9.91060900778729e-10,0.001,0.9476106725042944,0,0.01238967781699084,True,0.7244959236117448,0.07636117150302332,0.06407198146368609,0.8467965574436485,0.00013404309841942924,0.027307264284832416,-0.027173221186412987,,,,,1.0,1.1723136095066652e-08,1.3211062859339688e-07,6.790638819496892e-06,0.016074390146732995,-6.658528190903495e-06
