dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
arma22_s068:4068:800,arma22_s068,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [-0.02657656776083712, 0.5921546667402457], 'theta': [-0.036246678219645, -0.32039245316946746], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4068,v2,1,800,1,0.0,False,9.516197353929913e-18,1.0,0.1364456118527759,-0.019552893948628025,1.0,3.0,,False,0.029641046884704925,-0.0018576800708162144,-0.3185881567193719,True,0.1496481333738739,True,0.9984838019998596,True,0.909955244821411,0.4946428571428571,0.48115094449106705,0.001,0.9282312073353503,0,0.6191508461160907,True,0.9808575472128327,2.2286948039671133,0.6466690032441725,0.09004475517858901,0.9850679941584211,0.9860104630206069,-0.0009424688621858524,,2.0,,,0.0,0.9783542639439546,1.0008858417022013,0.982618254041002,1.0028875194007645,0.01826758766119929
arma22_s077:4077:800,arma22_s077,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.4860849245222382, 0.08699232486053583], 'theta': [0.018352156262215757, -0.02948792131977873], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4077,v2,1,800,2,0.0,False,1.9032394707859827e-17,1.0,-0.10630350985060188,0.02375311295693594,2.0,6.0,,False,0.2901611842006837,-0.005575214724361954,1.1726619492530685,True,0.14337652474085963,True,0.9987551815217276,True,0.8361569013285707,0.005357142857142857,0.38415416052933055,0.001,0.8515319786662952,0,0.8184736639431188,True,0.981977163042403,1.997387165655396,0.8283454093457865,0.16384309867142932,0.8425193266621938,0.845821512213823,-0.0033021855516292,,2.0,,,0.0,1.0025467703648638,1.0006460526043461,1.0123749702825346,0.9851208244178944,-0.01172891767818851
arma22_s078:4078:800,arma22_s078,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [-0.1379327506884526, 0.705730016442154], 'theta': [0.41028559863481184, -0.00723749060022294], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4078,v2,1,800,1,0.0,False,1.586032892321652e-17,1.0,-0.10223277746245658,0.14748686839128933,1.0,3.0,,False,0.31236526458201186,-0.004964505123229768,1.3492724794584907,True,0.16294701088357164,True,0.9933566836753681,True,0.8361003154789367,0.4875,0.3181659493185163,0.001,0.95,0,0.789600561849155,True,0.9625123849570828,1.8533845913780735,0.6855672846236001,0.1638996845210633,0.8292374421225733,0.832225474580788,-0.0029880324582146622,,2.0,,,0.0,0.7770541155447157,0.7791150811099459,0.7891490770971231,0.8093279212514797,-0.010033995987177247
arma22_s083:4083:800,arma22_s083,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [-0.31209565625329716, -0.7741717385503832], 'theta': [-0.18969383485739322, -0.4361113489555258], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4083,v2,1,800,1,0.0,False,7.137148015447434e-18,1.0000000000000002,-0.0221802251825515,-0.15717566085624712,1.0,3.0,,False,0.7411247456735917,-0.06219688277690194,3.157266858648502,True,0.21908149525923326,True,0.9980300273847869,True,0.7538031138859387,0.25535714285714284,0.12449793365294742,0.001,0.95,0,0.04408007739418183,True,0.9196244354321532,1.4865039214916453,0.19220444633767667,0.24619688611406132,0.5087978521244054,0.5666322767927275,-0.057834424668322115,,2.0,,,0.0,0.4646360665277156,0.4632869071497206,0.6221041827307914,0.5007044303757124,-0.15881727558107078
arma22_s085:4085:800,arma22_s085,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [-0.7746509149413011, -0.04799270765357439], 'theta': [0.3678096782411643, -0.3345022916495306], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4085,v2,1,800,2,0.0,False,-1.9032394707859827e-17,1.0,0.050768108592084756,0.0711351399158695,2.0,2.0,,False,0.20305651554766257,-0.08403365352387315,0.19506461995781582,True,,False,0.9986933779996542,True,0.8882189727731021,0.41964285714285715,0.4464259987708254,0.001,0.9258694448506433,0,0.4347210717098433,True,0.9836365366659277,2.1026659947112067,0.5294377136236768,0.11178102722689787,0.8927169117096065,0.9386038237596364,-0.045886912050029816,,2.0,,,0.0,1.0264643674885219,1.026982918439308,1.0364940667393785,1.0227481252980082,-0.009511148300070493
arma22_s093:4093:800,arma22_s093,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.8253336397988335, 0.073402845687942], 'theta': [-0.1805724117495292, 0.03334314618183842], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4093,v2,1,800,9,0.0,False,3.1720657846433043e-18,0.9999999999999999,0.32304624732986764,-0.3257315284553095,9.0,9.0,,False,0.693778556989409,-0.07546648577743131,4.012139746917238,True,0.19646539537187985,True,0.9970701120891841,True,0.6840162525960269,0.0035714285714285713,0.17772610716350326,0.001,0.9272078808138627,0,1.0804263898134747,True,0.9792428624091596,1.6539603688652018,0.8947235619537042,0.31598374740397306,0.5533727884623447,0.6178089743505044,-0.06443618588815969,,2.0,,,0.0,1.042515849672742,1.0667326766595573,2.0,1.2113262061100085,-0.9332673233404427
arma22_s095:4095:800,arma22_s095,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.07047606256434807, 0.7026226931479768], 'theta': [-0.45059354558454295, 0.02534018582913733], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4095,v2,1,800,1,0.0,False,0.0,1.0,-0.06826537178667892,0.3983084494143432,1.0,3.0,,False,0.5124755131601311,-0.11624644384184601,1.4918152651179148,True,0.18243823797893738,True,0.998288523829677,True,0.8061543553365604,0.4946428571428571,0.28282612590591955,0.001,0.7168683089711804,0,0.7763192815521769,True,0.9214084689548799,1.8275555214999721,0.7977351808233083,0.19384564466343956,0.6982295373585029,0.777026981952181,-0.0787974445936781,,2.0,,,0.0,0.7527178469240102,0.7594357856046994,0.8022048096731589,0.7894544964105554,-0.042769024068459505
arma22_s096:4096:800,arma22_s096,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.38958733782776656, 0.39761232551724524], 'theta': [-0.470392278474862, -0.2153354783396881], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4096,v2,1,800,1,0.0,False,-1.9032394707859827e-17,1.0,-0.18009285864367347,0.080763164776394,1.0,7.0,,False,-0.08172968487081866,0.04199404592745526,-0.42625851408561505,True,0.14738795489897571,True,0.9981825630792791,True,0.9042724077628509,0.4589285714285714,0.5101003112942977,0.001,0.6740865117326907,0,0.5939661017438808,True,0.9901042708920635,2.22211791252863,0.6194588963138394,0.0957275922371491,1.0400623466267869,1.0196742808090058,0.020388065817781076,,2.0,,,0.0,1.0087357640703192,0.9988998768955227,1.0097851372924616,1.0538821771359115,-0.010885260396938823
arma22_s101:4101:800,arma22_s101,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.7540052595379416, -0.23898424331932563], 'theta': [-0.3447448786658978, -0.2236184093258552], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4101,v2,1,800,1,0.0,False,1.2688263138573217e-17,1.0,0.006113757721496492,-0.14769908895108452,1.0,5.0,,False,0.1796003512908333,-0.010695932239948025,0.20553250799965556,True,0.1542477474604999,True,0.9968447769332497,True,0.8766894597040694,0.11607142857142856,0.4555562043871668,0.001,0.494418140813538,0,0.3596136393096343,True,0.9633355152379375,2.200903950738081,0.4610049739790958,0.12331054029593058,0.9057591560172974,0.911644437787625,-0.005885281770327655,,2.0,,,0.0,0.952526211350107,0.9379912689113373,0.9917915425461455,0.9355641854339788,-0.053800273634808216
arma22_s104:4104:800,arma22_s104,linear_stochastic,synthetic,forecast,"{'generator': 'arma', 'phi': [0.5755601810282105, 0.32665185266649005], 'theta': [-0.21704244811257328, 0.38073593549908585], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4104,v2,1,800,11,0.0,False,2.5376526277146434e-17,0.9999999999999999,0.14387323942359634,-0.341379676653752,11.0,9.0,,False,0.7006909058548709,-0.04822031985458153,2.5698373668965857,True,0.1956131757424881,True,0.9942160606576951,True,0.6717720758521356,0.0017857142857142857,0.15263301685154554,0.001,0.008243899326394494,0,1.101086550415037,True,0.9785908810197245,1.5627216659405208,0.8910503249502015,0.3282279241478644,0.54709148608357,0.5895162542285926,-0.042424768145022496,,2.0,,,0.0,1.1195563486632114,1.1107331898831838,1.3827867835976686,1.2479547224352865,-0.2720535937144848
