dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
egarch_a0.18_b0.79_s393:4793:800,egarch_a0.18_b0.79_s393,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.17944594213800305, 'beta': 0.7886586318497364, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4793,v2,1,800,1,0.0,False,1.586032892321652e-17,1.0,0.16420498309730278,0.2453505473362485,1.0,2.0,,False,-0.1139273499381186,0.0560615870448089,-0.4867701422501319,True,,False,0.995690059896214,True,0.9310565642150214,0.40535714285714286,0.5654560078437141,0.001,0.5969919067969193,0,0.5299540277946948,True,0.9952339200712673,2.025990361182508,0.5928140444171957,0.06894343578497864,1.0554275673574756,1.0285260146896187,0.026901552667856876,,,,,0.0,1.007855834502682,1.0124195516321903,1.0558685754539057,1.0047049632764402,-0.04344902382171534
egarch_a0.18_b0.79_s394:4794:800,egarch_a0.18_b0.79_s394,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.17749022207793932, 'beta': 0.7853364472002107, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4794,v2,1,800,1,0.0,False,-6.3441315692866086e-18,1.0,0.05066231552973112,0.12682740561438965,1.0,2.0,,False,-0.08383282734917508,0.04572096952850546,-0.5541739794007111,True,0.1368247206038361,True,0.9982684337315267,True,0.9348045506744285,0.1732142857142857,0.5997807212181665,0.001,0.8755874424514772,0,0.5098675185178186,True,0.9942835470151113,2.0168812605543707,0.6117552480035007,0.06519544932557153,1.041072921244797,1.0188777442954917,0.022195176949305173,,,,,0.0,1.0313677328771558,1.012932071520883,1.01768501736136,1.045552509514305,-0.004752945840477141
egarch_a0.17_b0.91_s395:4795:800,egarch_a0.17_b0.91_s395,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.1706190071219137, 'beta': 0.9060098337999924, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4795,v2,1,800,1,0.0,False,-3.172065784643304e-17,0.9999999999999999,-0.2016277545655816,0.7327788100274377,1.0,3.0,,False,-0.26312817417493295,0.2006824366480242,-0.9376803025036173,True,0.133158843173592,True,0.9984849497031336,True,0.9229826278510292,0.1875,0.517572450981868,0.001,0.9239513474487043,0,0.5307691039257113,True,0.9954909007711813,2.2735975561207935,0.6077135777453384,0.07701737214897075,1.123889751788374,1.030750084902693,0.09313966688568098,,,,,0.0,1.0244515361926105,1.0030641808399485,1.0658709061687681,1.0339971204524783,-0.06280672532881959
egarch_a0.16_b0.93_s396:4796:800,egarch_a0.16_b0.93_s396,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.16296577863194905, 'beta': 0.932544466937089, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4796,v2,1,800,1,0.0,False,1.2688263138573217e-17,1.0,0.2368904029073164,0.2290879752493491,1.0,6.0,,False,-0.2745313730682706,0.16057164756749587,-0.1688446199098648,True,0.1469675847613503,True,0.9911433598780192,True,0.9169672559837726,0.04642857142857143,0.5250587535523744,0.001,0.6549414646980191,0,0.5131854493035002,True,0.9963772713427759,2.1874547857404143,0.5407736459908014,0.0830327440162274,1.128951448499124,1.0554429048985903,0.07350854360053383,,,,,0.0,1.0061025529537027,1.0053015155033516,0.992606614972547,0.9962459762677056,0.012694900530804576
egarch_a0.07_b0.65_s397:4797:800,egarch_a0.07_b0.65_s397,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.07458644094947911, 'beta': 0.6534477955912167, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4797,v2,1,800,1,0.0,False,0.0,1.0,0.07794307982624264,-0.14151502353860135,1.0,5.0,,False,-0.18381347648301816,0.15513340936911502,-0.6662953713192056,True,,False,0.9972378819971803,True,0.9104256572178758,0.35178571428571426,0.5171055909509159,0.001,0.8705443735680529,0,0.55088004887649,True,0.9964094125846007,2.2261815887130485,0.6250664302230284,0.08957434278212417,1.0880319280623238,1.014238663783778,0.07379326427854593,,,,,0.0,1.0319683879170678,1.0067516036462292,1.0151165874065342,1.0228825224291263,-0.008364983760305034
egarch_a0.08_b0.86_s403:4803:800,egarch_a0.08_b0.86_s403,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.0791165048144795, 'beta': 0.8584735712602786, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4803,v2,1,800,1,0.0,False,6.3441315692866086e-18,0.9999999999999999,0.019754581110267004,0.39539653572850986,1.0,3.0,,False,-0.007717187061910824,-0.04237611020809129,-1.1935182643888607,True,0.1331006222542221,True,0.9956146884286812,True,0.9292466125586419,0.3482142857142857,0.5660488491317812,0.001,0.754579394598224,0,0.4664136180402075,True,0.9960635472362791,2.1542607008345884,0.5207833000062505,0.07075338744135806,1.00385117774594,1.0247405999910426,-0.020889422245102596,,,,,0.0,1.012046944394651,1.0111067118662278,1.010175153991737,1.0323655857093468,0.0009315578744908404
egarch_a0.14_b0.89_s410:4810:800,egarch_a0.14_b0.89_s410,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.13875988335324646, 'beta': 0.8930173776583208, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4810,v2,1,800,1,0.0,False,6.3441315692866086e-18,1.0,-0.12035251256252878,0.13822974796796128,1.0,2.0,,False,-0.06783044495096724,0.011233495698147022,-0.3802998461656163,True,0.1560572971829364,True,0.9983031386861059,True,0.9304172980946765,0.4232142857142857,0.5877358915458492,0.001,0.9343137297348987,0,0.42279883293813486,True,0.9939983424134553,2.1249039157565934,0.5034459098618081,0.06958270190532345,1.0333588171351553,1.0279090179839947,0.005449799151160617,,,,,0.0,1.044800644898603,1.0340037204485881,1.0371869695000253,1.0100477501673577,-0.003183249051437187
egarch_a0.17_b0.80_s411:4811:800,egarch_a0.17_b0.80_s411,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.16734427293039714, 'beta': 0.7990520076416615, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4811,v2,1,800,1,0.0,False,0.0,1.0,0.0809072495166093,0.3659683008993939,1.0,6.0,,False,-0.08397577729133476,0.02060449217425786,-0.4018221328515237,True,0.13805816060488454,True,0.9993473067260206,True,0.921455984818275,0.026785714285714284,0.5452724558143064,0.001,0.41099197770548385,0,0.5114684964803274,True,0.9958745379252744,2.1016539469509197,0.5724573436317442,0.07854401518172505,1.0411415740865095,1.0311989551570915,0.009942618929418057,,,,,0.0,1.031761111635908,1.0112485306018233,1.0330033055889138,1.0202952646770016,-0.021754774987090553
egarch_a0.16_b0.82_s412:4812:800,egarch_a0.16_b0.82_s412,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.15957404317899565, 'beta': 0.8239342581099731, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4812,v2,1,800,1,0.0,False,-4.758098676964957e-18,1.0,-0.09395774261537947,-0.19897552223528958,1.0,3.0,,False,-0.1321603218602747,0.004568573740783011,-1.3640567754692783,True,0.13897790467987156,True,0.9958143681728491,True,0.9323271632793066,0.13392857142857142,0.5764508293308169,0.001,0.95,0,0.525523972910312,True,0.9938667404928918,2.1695548279169685,0.5780974563374093,0.06767283672069335,1.0640302260087704,1.0618812307030818,0.0021489953056885724,,,,,0.0,1.0240156604768147,1.0127227018078748,1.0065170013887532,1.036390954519586,0.006205700419121607
egarch_a0.06_b0.83_s420:4820:800,egarch_a0.06_b0.83_s420,volatility_heteroskedastic,synthetic,forecast,"{'generator': 'egarch', 'alpha': 0.05677120751818572, 'beta': 0.8288868168698297, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",4820,v2,1,800,1,0.0,False,1.5860328923216522e-18,1.0,-0.03457144563085397,0.5070544578776,1.0,3.0,,False,-0.039665251054558315,0.026129674810732917,-0.4166938878390309,True,0.12999536502200626,True,0.9991085765454002,True,0.9193622087977512,0.49107142857142855,0.551041915622899,0.001,0.8392732360469224,0,0.41345575850383065,True,0.9948448449876169,2.1643858056892142,0.5087749615766581,0.08063779120224879,1.0196397653360516,1.0067450403373366,0.012894724998715024,,,,,0.0,1.005857916382779,0.9930233859769558,1.0126491326682212,1.0188675401050735,-0.019625746691265378
