dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
standard_map_k1.54_s467:3867:800,standard_map_k1.54_s467,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.5419387654952956, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3867,v2,1,800,11,0.0,False,-5.15460690004537e-18,1.0,0.004482109588800396,-1.7424152126513623,11.0,2.0,,False,0.9973195840557848,-0.009215698126084249,24.16646318496067,True,0.273186865733965,True,0.2685557505709319,True,0.4186022849055839,0.16607142857142856,0.0018432757606790095,0.001,0.5930811542366751,0,0.020540537685086995,True,0.8429714769432343,0.9448403756253051,0.05229411985551146,0.5813977150944161,0.05177273359805494,0.10906930856248909,-0.05729657496443415,,,,,1.0,0.3752108535267134,0.2666957990867114,0.35571028209482886,0.30097395323685755,-0.08901448300811743
standard_map_k1.09_s471:3871:800,standard_map_k1.09_s471,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.0919463699599847, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3871,v2,1,800,2,0.0,False,-1.486905836551549e-17,1.0,-0.0010628895611263156,-1.6846834500210655,2.0,2.0,,False,0.9999999073389422,-0.0006365119818712017,48.658077411836835,True,0.0019861235559953303,True,0.10931079364956592,True,0.1650268958862065,0.15357142857142855,4.138713459990221e-09,0.001,0.95,0,0.025586985690534053,True,0.695742679468981,0.5256700329145233,0.02702300739029629,0.8349731041137936,0.00030440278887689735,0.025231025403836302,-0.024926622614959405,,,,,1.0,2.327024333697181e-06,5.8952835373397024e-05,2.0950878041954707e-05,0.015074327490138163,3.8001957331442314e-05
standard_map_k0.99_s472:3872:800,standard_map_k0.99_s472,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.9877941087088589, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3872,v2,1,800,2,0.0,False,7.93016446160826e-18,1.0,0.011718654861908121,-1.7418758785608714,2.0,2.0,,False,0.9999998589904726,-0.0006844608177175582,49.76333973179193,True,,False,0.11116575060605915,True,0.17348060378647875,0.13749999999999998,4.346074734327614e-08,0.001,0.95,0,0.04089897184484442,True,0.6742418461102423,0.8241491793585162,-0.02968534412108643,0.8265193962135212,0.0003755123531374585,0.02616489685140984,-0.02578938449827238,,,,,1.0,2.900632059097815e-05,0.00021348891934468722,9.243292229957685e-05,0.011143802350334214,0.00012105599704511037
standard_map_k1.50_s473:3873:800,standard_map_k1.50_s473,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.4950676513358165, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3873,v2,1,800,1,0.0,False,-4.678797032348874e-17,1.0,-0.0003918768404343532,-1.5237307579326234,1.0,4.0,,False,0.9999999996951016,-0.0006780059252387005,50.34654043852903,True,0.000698657372990371,True,0.16050517632111594,True,0.15408353203184738,0.20714285714285713,1.605193445771556e-11,0.0072494655478595885,0.001,0,0.011905557463408387,True,0.7237163065132908,0.08290208056011766,-0.04537845635024773,0.8459164679681526,1.7461341870882272e-05,0.026038552765796127,-0.026021091423925245,,,,,1.0,9.000871412060854e-07,1.1690516005029607e-06,6.0624159273972776e-06,0.017678621224640194,-4.893364326894317e-06
standard_map_k1.30_s474:3874:800,standard_map_k1.30_s474,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.301319930866736, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3874,v2,1,800,4,0.0,False,3.766828119263924e-17,0.9999999999999999,-0.002482117874540496,-1.5622287532622618,4.0,4.0,,False,0.9999999681331726,-0.000865656341610177,44.9511784304859,True,,False,0.5014195655125447,True,0.1549916466938173,0.18571428571428572,4.010317369617665e-09,0.001,0.95,0,0.014281682891441778,True,0.7217022139550932,0.16283226646440174,0.04308617140359036,0.8450083533061827,0.00017851282124614726,0.029422579907913755,-0.02924406708666761,,,,,1.0,6.92416695370862e-07,1.0879519336033027e-05,6.488816601845558e-06,0.018023018957612102,4.390702734187469e-06
standard_map_k1.27_s476:3876:800,standard_map_k1.27_s476,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.267624273230345, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3876,v2,1,800,2,0.0,False,-4.123685520036296e-17,1.0,3.0571443298015445e-05,-1.9860225736683192,2.0,2.0,,False,0.9999944553065261,-0.000508080576764991,44.85828299923305,True,,False,0.11058876358410334,True,0.23820762340913815,0.125,2.7729657023221736e-08,0.001,0.001,0,0.055273676158728274,True,0.8893594139345659,0.5798532250942461,0.11502736398182693,0.7617923765908619,0.002354717281095273,0.022663302280092876,-0.020308584998997604,,,,,1.0,0.004304910681165615,0.0027904413085215775,0.014147777633579743,0.016181303059256236,-0.011357336325058165
standard_map_k0.71_s480:3880:800,standard_map_k0.71_s480,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 0.7137218000146628, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3880,v2,1,800,2,0.0,False,-1.586032892321652e-17,1.0,-9.712804376707664e-05,-1.7281612170483585,2.0,2.0,,False,0.9999999382865895,-0.0006108702830688317,51.08033925185473,True,0.0009946377761825356,True,0.30112592629904356,True,0.17173682501908832,0.11607142857142856,6.303414560923419e-09,0.001,0.9191220753675506,0,0.07476056115872239,True,0.639019344892519,0.7601134570831888,0.06314282596956584,0.8282631749809117,0.0002484218397149722,0.024717038586354458,-0.024468616746639485,,,,,0.0,2.296958182846651e-06,6.413576556624276e-05,5.5765634710000675e-05,0.014829850608503127,8.370130856242084e-06
standard_map_k1.95_s483:3883:800,standard_map_k1.95_s483,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.948936783002266, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3883,v2,1,800,1,0.0,False,-3.528923185415676e-17,1.0,-0.001169997229204439,-1.6594533172301997,1.0,3.0,,False,0.9999999799186675,-0.0005097012340231633,53.74673934582943,True,0.00044950978594237375,True,-0.024380123636409068,True,0.16276650905257678,0.22678571428571428,7.559788053745936e-10,0.001,0.95,0,0.011069365692897432,True,0.71115966906926,0.10214379777000643,-0.043907875453933924,0.8372334909474233,0.000141708618288908,0.022577008556398055,-0.022435299938109148,,,,,1.0,4.414138818440637e-06,1.1378537648039167e-05,3.3463442538113245e-05,0.011689550542569722,-2.208490489007408e-05
standard_map_k1.78_s484:3884:800,standard_map_k1.78_s484,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.7846852194033704, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3884,v2,1,800,4,0.0,False,4.520193743116709e-17,1.0,-0.0039022133725477187,-1.711356997592832,4.0,4.0,,False,0.9999125468148641,-0.0008279112166924563,39.625854552637236,True,0.34561592088560816,True,0.3808225685254047,True,0.18044383150943516,0.18214285714285713,2.753657655074607e-06,0.001,0.95,0,0.016486996663866712,True,0.7290169522864931,0.2649376662853715,0.08022503154061915,0.8195561684905648,0.009351640772396997,0.030254989701343604,-0.02090334892894661,,,,,1.0,0.017831384168735823,0.004093556021777516,0.010982069260727834,0.024461283068608876,-0.006888513238950318
standard_map_k1.19_s485:3885:800,standard_map_k1.19_s485,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.1853545798856484, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",3885,v2,1,800,4,0.0,False,4.490455626385678e-17,1.0,-0.007051463237967897,-1.5324082304794346,4.0,4.0,,False,0.9999999875488756,-0.0006236657712191951,61.71876845145082,True,,False,0.6141747060803744,True,0.15379707385475136,0.18035714285714285,2.8561993643746842e-09,0.001,0.95,0,0.014809073251560655,True,0.7182505057650392,0.16316954268580694,0.010658460574542275,0.8462029261452486,0.00011158460629092763,0.02497355045530281,-0.02486196584901188,,,,,1.0,7.730943374336558e-07,1.9081889650760313e-06,3.0039917037513818e-06,0.01658899686805483,-1.0958027386753505e-06
