dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau30_s000:1100:800,mackey_glass_tau30_s000,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 30}",1100,v2,1,800,13,0.0,False,9.516197353929913e-17,1.0,-0.544870460176444,-0.5475736985686881,13.0,13.0,,False,0.999962508330263,-0.007929307390971418,16.55673298752804,True,0.38897004874652225,True,0.7966727330556315,True,0.4205717514260424,0.014285714285714285,5.009383125968727e-07,0.001,0.95,0,1.4355832785399978,True,0.4089742760087041,0.3961311081781385,0.9153902853182159,0.5794282485739576,0.08925692724213864,,,,,1.0,0.7815001653465071,0.5998091707830737,1.014377566131099,0.6711695652256452,-0.41456839534802525
lorenz63_rho39.72_s000:1200:800,lorenz63_rho39.72_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 39.72130877801641, 'dt': 0.02}",1200,v2,1,800,12,0.0,False,-1.9032394707859827e-17,1.0,-0.16484364664147108,-0.7074896194894129,12.0,7.0,,False,0.9999686158794663,-0.009989364734517947,23.659895105142688,True,2.7891764722028896,True,0.9441688551809523,True,0.4881899671653482,0.0035714285714285713,5.116778634374842e-08,0.001,0.7589656567673865,0,1.318574782345251,True,0.3516648812890706,0.35274992354883483,0.8070401907526235,0.5118100328346518,0.10010369051664182,,,,,1.0,0.6709189030392375,0.5772358120143065,0.5892914180128608,0.3144130201181699,-0.012055605998554264
rossler_c8.57_s000:1300:800,rossler_c8.57_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.571754164281877, 'dt': 0.05}",1300,v2,1,800,21,0.0,False,3.172065784643304e-17,0.9999999999999999,0.26227765193156105,0.4921395433747686,21.0,19.0,,False,0.9999990710131527,-0.005695030898616116,9.840941950625597,True,0.13280091485975973,True,0.062462615374886024,True,0.3902864297281316,0.008928571428571428,1.9016569262805914e-08,0.001,0.95,0,1.6788731380338084,True,0.28194019715110896,0.14419123825504554,1.0051942953484936,0.6097135702718683,0.07547158329771175,,,,,1.0,0.2588645057165977,0.12102281316406738,0.19483530949361189,0.33987019520247236,-0.07381249632954451
logistic_r3.6228_s000:1400:800,logistic_r3.6228_s000,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.622777557771053}",1400,v2,1,800,186,0.0,False,1.5860328923216522e-16,1.0,-0.2553255782091408,-1.586075467819386,186.0,3.0,,False,0.9394829512375392,0.05854503445801118,30.201217296265103,True,0.20538062695688675,True,0.6545467079308198,True,0.2763491219460964,0.5,0.032996318449877396,0.001,0.8048853007177104,0,0.023077578259184627,True,0.4836962538226018,0.21764543561812214,0.14549100482664729,0.7236508780539036,0.04440736768205985,0.2068362225788556,,,,1.0,0.37121512973017523,0.40609512059980424,0.39965322517507357,0.3795639320534477,0.00644189542473067
henon_a1.078_s000:1500:800,henon_a1.078_s000,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.077998830501848, 'b': 0.3}",1500,v2,1,800,186,0.0,False,-5.3925118338936174e-17,1.0,-0.16122616026800923,-1.6244258385686459,186.0,3.0,,False,0.9848389728095297,0.013752399698824913,30.387527142000387,True,0.13913658950588137,True,0.1172716493380449,True,0.20460978826008577,0.5,0.006945105024765135,0.001,0.029735217970424204,0,0.007623354433419938,True,0.43620706446955015,0.16876945859591383,0.05522332581956354,0.7953902117399142,0.03753168650147957,0.12873133830501995,,,,1.0,0.14799235196051824,0.13994908472085862,0.7517750217966442,0.15933825907644106,-0.6118259370757856
narma02_s000:1600:800,narma02_s000,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 2}",1600,v2,1,800,1,0.0,False,-1.0277493142244307e-15,1.0,1.033911518072528,0.46608264636352637,1.0,4.0,12.004136087638814,True,0.8177046860097749,0.10311233815094412,6.931839026761059,True,0.13515571580126448,True,0.9986863210737866,True,0.9171613477419873,0.35535714285714287,0.5010895210803036,0.001,0.8536516699818618,0,0.4789066533238231,True,0.9933610952610636,2.1343572992759507,0.5885754601859369,0.08283865225801268,0.28139469760335045,,2.0,,,,0.35335246990114466,0.12234161150837458,0.6571543866495185,0.21277590817703107,-0.534812775141144
linear_memory_lag01_s000:1700:800,linear_memory_lag01_s000,input_driven,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 1}",1700,v2,1,800,1,0.0,False,-1.586032892321652e-17,1.0,0.09121397462723736,-1.135430994200293,1.0,4.0,18.993866356371395,True,0.9996235243517758,-0.000773960942343499,6.508517403005491,True,0.14052286141154594,True,0.9971631949655975,True,0.9189078563185492,0.39999999999999997,0.5373590762471109,0.001,0.7259960413107088,0,0.5324917077783136,True,0.9947755439780473,2.263645747288407,0.5951179558980738,0.08109214368145079,0.03391808648151664,,1.0,,,,0.01922443915765222,0.04667791152560755,0.5082092625196554,0.02615637168310184,-0.4615313509940478
nonlinear_ipc_d3_l17_s000:1800:800,nonlinear_ipc_d3_l17_s000,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 8, 17]}",1800,v2,1,800,1,0.0,False,3.172065784643304e-17,1.0,-0.16472113617565998,0.712635667969693,1.0,3.0,10.600164608058614,True,0.8173609086545676,0.03530328456753984,2.9184872123810575,True,0.1624062166560085,True,0.9979163884341654,True,0.9255902572301886,0.48214285714285715,0.5665770174621624,0.001,0.6593600727215847,0,0.495578953935625,True,0.9935753723127031,2.1393019296035147,0.565952955608773,0.07440974276981138,0.3838434665041111,,17.0,,,,0.3745000258281651,0.635956757509237,0.7949782451376141,0.29617319835065375,-0.1590214876283771
mso2_s000:1900:800,mso2_s000,oscillatory,synthetic,forecast,"{'generator': 'mso', 'n_freqs': 2}",1900,v2,1,800,5,0.0,False,-4.123685520036296e-17,1.0,0.012224819610933491,-0.7402938093816549,5.0,7.0,,False,0.9999999999990609,-0.039516266982712045,11.23824488541058,True,0.29936203404267653,True,0.9439548957560107,True,0.27686758319732446,0.04642857142857143,1.220323314805731e-10,0.001,0.95,0,0.7117003716021919,True,0.4564737647396432,0.5069940452798256,0.46792210786869165,0.7231324168026756,0.1987869889697291,,,2.0,,,3.083616436284671e-11,0.027947520977872717,0.3758686678107325,0.47757251795156774,-0.3479211468328598
quasi_periodic2_s000:2000:800,quasi_periodic2_s000,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 2}",2000,v2,1,800,5,0.0,False,-2.8548592061789737e-17,1.0,-0.009840793826523982,-0.7522267013655561,5.0,6.0,,False,0.9999999999987317,-0.020379012061668034,18.864231320967072,True,0.323162901545844,True,0.9916906976295428,True,0.2768589849309441,0.04642857142857143,1.1027833197345633e-10,0.001,0.9322109882495675,0,0.7005761827742554,True,0.44973475342717645,0.5587105319577548,0.4499676239666999,0.7231410150690559,0.14275507718794567,,,2.0,,,3.99865294428625e-11,0.010580988851462064,0.2611435489054257,0.3528865864146336,-0.2505625600539636
