dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
nonlinear_ipc_d4_l04_s001:1801:800,nonlinear_ipc_d4_l04_s001,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 4, 'lags': [1, 2, 4]}",1801,v2,1,800,1,0.0,False,-1.1736643403180226e-16,1.0,0.9798533449716346,0.7930507113937586,1.0,2.0,0.0,True,-0.07562949503865446,0.8574634955196554,0.8596357455721289,True,0.1527461468665191,True,0.9981986481011486,True,0.9272121629503479,0.3071428571428571,0.5743594053770819,0.001,0.8657441222768175,0,0.48427359411979715,True,0.9926139310958172,2.1760373441167755,0.5162065533217784,0.07278783704965208,0.4670824333230689,,4.0,,,,1.0441434249883246,0.5878484262534994,0.8784904718301165,0.42546558164566756,-0.2906420455766171
nonlinear_ipc_d3_l11_s002:1802:800,nonlinear_ipc_d3_l11_s002,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 5, 11]}",1802,v2,1,800,1,0.0,False,1.2688263138573217e-17,1.0,0.33770738317524174,1.1813127815773576,1.0,4.0,11.891970209253412,True,0.7714692524892091,0.07241354634146036,2.935199571357213,True,0.1509262625066025,True,0.9979420920842252,True,0.9281844713671787,0.35357142857142854,0.5346541118687173,0.001,0.004670203258811294,0,0.4571479146492456,True,0.9903157685093968,2.1765682524105587,0.515109729836164,0.07181552863282126,0.39511669310386094,,11.0,,,,0.4871511787591642,0.570661519278228,0.7805679923105006,0.3476650703755839,-0.2099064730322726
nonlinear_ipc_d2_l13_s003:1803:800,nonlinear_ipc_d2_l13_s003,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 6, 13]}",1803,v2,1,800,1,0.0,False,-1.0150610510858574e-16,1.0,0.664961221167612,0.4408405493580472,1.0,3.0,0.0,True,-0.19678714688027799,1.0037041179733683,0.635167896616138,True,0.16545148931274767,True,0.99866481568446,True,0.9311139163635406,0.35357142857142854,0.6019579919247786,0.001,0.9249359513958378,0,0.5194745576769405,True,0.9970894127089194,2.2414974010142075,0.5323020434598278,0.06888608363645943,0.4394121401451145,,13.0,,,,1.01296449434904,0.66870048341662,0.9298476904926373,0.4464259340839695,-0.26114720707601724
nonlinear_ipc_d2_l23_s004:1804:800,nonlinear_ipc_d2_l23_s004,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 11, 23]}",1804,v2,1,800,1,0.0,False,-3.8064789415719653e-17,1.0,0.3609859225766658,-0.14022640211564585,1.0,2.0,0.0,True,-0.13718801480528997,0.9315371434595774,0.19936615032903604,True,0.1380758388675012,True,0.9978316945112058,True,0.9191495473508549,0.11071428571428571,0.5334520773278445,0.001,0.8954184631764373,0,0.5580758321819832,True,0.9910675080534039,2.144149885353266,0.6029866608040634,0.08085045264914514,0.4534874544523946,,23.0,,,,0.9973393806294365,0.6741827074219451,0.9447938834075518,0.4531689134631672,-0.2706111759856067
nonlinear_ipc_d3_l17_s005:1805:800,nonlinear_ipc_d3_l17_s005,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 8, 17]}",1805,v2,1,800,1,0.0,False,0.0,1.0,0.20405840552961071,1.9114177140587802,1.0,3.0,9.33777345155336,True,0.6704169957811638,0.18430583524108923,2.3682929989703556,True,,False,0.9980427676498522,True,0.9209602019721732,0.3821428571428571,0.546703816241025,0.001,0.056614870948496175,0,0.49278712034005634,True,0.9964967344920005,2.32004540702256,0.5787312261405547,0.07903979802782679,0.3811524222378063,,17.0,,,,0.478271340961964,0.668994944369064,0.8700490869293768,0.2896323225229412,-0.20105414256031273
nonlinear_ipc_d2_l23_s006:1806:800,nonlinear_ipc_d2_l23_s006,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 11, 23]}",1806,v2,1,800,1,0.0,False,-2.0301221021717148e-16,1.0,0.4189428338004596,-0.23092937416005999,1.0,2.0,0.0,True,-0.25166811419498925,1.0054526817991172,-0.12519630567288087,True,,False,0.99900989152456,True,0.9312068367631114,0.38035714285714284,0.5689983552584851,0.001,0.009674769994822027,0,0.4645044456916203,True,0.9933953902750383,2.2296949623670033,0.5596587535147883,0.06879316323688855,0.49620099999483286,,23.0,,,,0.9837564549373575,0.7314064962205319,0.9120458327132696,0.5237762046026363,-0.18063933649273767
nonlinear_ipc_d2_l15_s007:1807:800,nonlinear_ipc_d2_l15_s007,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 7, 15]}",1807,v2,1,800,1,0.0,False,-1.6494742080145183e-16,1.0,0.7824325182734037,0.7004806234736383,1.0,3.0,0.0,True,-0.05889632373995202,0.8308095097860017,1.2566457782841298,True,,False,0.9986128370252376,True,0.9228545044866523,0.17678571428571427,0.5623430964320538,0.001,0.057720985179520026,0,0.5274641486726764,True,0.9944987478728827,2.1578321756255585,0.6338707397574483,0.0771454955133477,0.47758435271054517,,15.0,,,,1.0297534253590983,0.7093864633327723,0.8579354844145901,0.4125819404479833,-0.14854902108181778
nonlinear_ipc_d3_l10_s008:1808:800,nonlinear_ipc_d3_l10_s008,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 5, 10]}",1808,v2,1,800,1,0.0,False,1.2688263138573217e-17,1.0,0.03845591471448828,1.4731734346911276,1.0,2.0,12.37600568090708,True,0.7788233824095383,0.09262355341381578,4.015317309627948,True,0.14496166381857456,True,0.9983762372805554,True,0.9295310572957772,0.026785714285714284,0.5847497826652749,0.001,0.617774024331563,0,0.4101396624734361,True,0.9958987075673146,2.1742350591115205,0.4625783715179503,0.07046894270422277,0.3585429739607875,,10.0,,,,0.4188251850408724,0.6124311529633532,0.688946632231065,0.35076891804932664,-0.07651547926771185
nonlinear_ipc_d2_l05_s009:1809:800,nonlinear_ipc_d2_l05_s009,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 2, 5]}",1809,v2,1,800,1,0.0,False,-1.3005469717037549e-16,0.9999999999999999,0.7272842364830159,0.558073449814859,1.0,3.0,0.0,True,-0.2342650471164871,1.0177838418615992,0.817738898632546,True,,False,0.9983693080090141,True,0.9247945633317517,0.13214285714285715,0.5148605314903122,0.001,0.7362926131375245,0,0.5399610136922472,True,0.9963272189753037,2.081431592087846,0.5880122567536176,0.0752054366682483,0.4652754079627334,,5.0,,,,1.017911391813137,0.4396816324055483,0.8371662593034804,0.4170809203864651,-0.3974846268979321
nonlinear_ipc_d2_l09_s010:1810:800,nonlinear_ipc_d2_l09_s010,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 4, 9]}",1810,v2,1,800,1,0.0,False,3.3623897317219026e-16,0.9999999999999999,0.4806687740058201,-0.020270575329904172,1.0,2.0,0.0,True,-0.10669945529323432,0.8426330322889248,0.5080723351442334,True,,False,0.9978383794082768,True,0.9187178492456747,0.26785714285714285,0.5346798912213511,0.001,0.6935809755584533,0,0.43735632076458264,True,0.9915758270965337,2.238406867302635,0.4709441648858088,0.08128215075432532,0.5138739368797657,,9.0,,,,1.0295660812091265,0.6459538869855743,0.8118650092054381,0.4297594828635237,-0.16591112221986382
