dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau30_s000:1100:800,mackey_glass_tau30_s000,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 30}",1100,v1,1,800,13,0.0,False,9.516197353929913e-17,1.0,-0.544870460176444,-0.5475736985686881,13.0,13.0,,False,0.999962508330263,-0.007929307390971418,16.55673298752804,True,0.38897004874652225,True,0.7966727330556315,True,0.4205717514260424,0.014285714285714285,5.009383125968727e-07,0.001,0.95,0,1.4355832785399978,True,0.4089742760087041,0.5794282485739576,0.08925692724213864,,,,,1.0,0.7815001653465071,1.0612491027248556,1.4226108134432855,0.6711695652256452,-0.36136171071842993
mackey_glass_tau15_s001:1101:800,mackey_glass_tau15_s001,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 15}",1101,v1,1,800,9,0.0,False,-7.819142159145745e-16,1.0,-0.4370327785621662,-0.8201619111459189,9.0,9.0,,False,0.999957505142325,-0.0061939317347400324,26.78108100493821,True,0.22081754582246405,True,0.4997705782007844,True,0.29875772674734535,0.02142857142857143,5.835813211587448e-07,0.001,0.95,0,1.1509433309697579,True,0.4251727071745312,0.7012422732526546,0.07897104907758977,,,,,1.0,0.35124146852394034,0.10957746495553966,0.7097738067477335,0.10938426342241667,-0.6001963417921938
mackey_glass_tau44_s002:1102:800,mackey_glass_tau44_s002,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 44}",1102,v1,1,800,18,0.0,False,-3.0451831532575723e-16,0.9999999999999998,-0.4205184215147735,-0.8673900635580893,18.0,20.0,,False,0.9999615677740873,-0.01070049217037583,15.91240049897098,True,0.3654148332332764,True,0.6221720830962549,True,0.42636605251979104,0.008928571428571428,1.350599524232827e-07,0.001,0.937938107435573,0,1.5566197695268413,True,0.4051018774381813,0.573633947480209,0.1036287816983707,,,,,1.0,0.8202149341790698,1.2469168446698176,0.8610567904132075,0.912601182293673,0.3858600542566101
lorenz63_rho27.91_s000:1200:800,lorenz63_rho27.91_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 27.907102926005468, 'dt': 0.02}",1200,v1,1,800,64,0.0,False,7.612957883143931e-17,1.0,0.1163065709383675,-0.9333615880999266,64.0,8.0,,False,0.9999635841672123,-0.043644980851876625,9.634003699885287,True,2.011337763306794,True,0.7046920674458154,True,0.3883714610646794,0.0017857142857142857,6.270785830077564e-09,0.0019998118718403636,0.030323674544587256,0,1.2216568257199893,True,0.3676055137241014,0.6116285389353207,0.20900094900421926,,,,,1.0,2.0,2.0,2.0,2.0,0.0
lorenz63_rho43.61_s001:1201:800,lorenz63_rho43.61_s001,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 43.61207085268701, 'dt': 0.02}",1201,v1,1,800,12,0.0,False,-2.5376526277146434e-17,0.9999999999999999,-0.5425293171089334,-0.538273609242701,12.0,7.0,,False,0.9999409885616701,-0.11917211688527607,15.860330359899695,True,4.1225051413374745,True,0.9337886202477249,True,0.4391882256719453,0.01607142857142857,1.5649940451929508e-08,0.001,0.042297601052326605,0,1.2989744315942429,True,0.37400756889861103,0.5608117743280547,0.34529860747417734,,,,,1.0,0.7267723449465193,1.0073165617660345,0.9772783565872064,0.34083469229376245,0.030038205178828048
lorenz63_rho31.49_s002:1202:800,lorenz63_rho31.49_s002,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 31.486194075245756, 'dt': 0.02}",1202,v1,1,800,51,0.0,False,0.0,0.9999999999999999,0.32334066444919757,-0.8702431307573146,51.0,8.0,,False,0.9999401249197499,-0.025850301932789144,12.887529088396674,True,1.6455655701041436,True,0.9514601596927741,True,0.47470643118653566,0.005357142857142857,1.2689969908853246e-08,0.0027409759555740657,0.0033605477071782827,0,1.3260613755076325,True,0.3721703646688151,0.5252935688134643,0.1609663847299778,,,,,1.0,1.2477326405128857,1.1988257749131443,1.2948499170415142,1.2260630400798298,-0.09602414212836985
rossler_c8.86_s000:1300:800,rossler_c8.86_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.85725138809396, 'dt': 0.05}",1300,v1,1,800,21,0.0,False,0.0,0.9999999999999999,0.41960816365264875,0.27010037151496835,21.0,20.0,,False,0.9999991707122534,-0.0074981711265714734,10.326847400861858,True,0.21727521869583458,True,0.034240700495607526,True,0.34970725725939666,0.008928571428571428,1.0736182842440068e-08,0.001,0.9478090759517488,0,1.7184863521941853,True,0.28203025054980024,0.6502927427406033,0.08659676907551474,,,,,1.0,0.2063293154943933,0.2947782821073896,0.7539616992907708,0.34721411161960164,-0.45918341718338124
rossler_c6.94_s001:1301:800,rossler_c6.94_s001,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 6.938649155673167, 'dt': 0.05}",1301,v1,1,800,21,0.0,False,2.5376526277146434e-17,1.0,0.32192337873976284,0.271744610531802,21.0,20.0,,False,0.9999993009515371,-0.005871423455036773,12.191051727705576,True,,False,0.08956576362175707,True,0.28861070031155267,0.008928571428571428,2.0952583586165514e-09,0.001,0.95,0,1.6802076930454932,True,0.276485793304477,0.7113892996884473,0.07662977556733172,,,,,1.0,0.20428867478084461,0.2804740627159044,0.6862998948097383,0.32830403954939175,-0.4058258320938339
rossler_c4.33_s002:1302:800,rossler_c4.33_s002,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 4.331209224656005, 'dt': 0.05}",1302,v1,1,800,21,0.0,False,2.5376526277146434e-17,1.0,0.2765792216325192,-1.0600027065618525,21.0,8.0,,False,0.9999957756723667,-0.0032474429154644158,32.096083374697045,True,0.1540258098363414,True,-0.15759401108500454,True,0.21840593232444813,0.008928571428571428,4.539818740249376e-11,0.001,0.95,0,1.7584638540929127,True,0.27485656474460024,0.7815940676755518,0.0570233920693747,,,,,1.0,0.2958972187937765,0.15770987094301053,0.4695926509617675,0.17188704166826338,-0.31188278001875697
logistic_r3.7409_s000:1400:800,logistic_r3.7409_s000,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.740925852590351}",1400,v1,1,800,2,0.0,False,-8.366323506996715e-17,0.9999999999999999,-0.38286744407998047,-1.1673598061191908,2.0,3.0,,False,0.999999999999771,-0.00038835514485702216,203.6226411877631,True,,False,0.9670686720925517,True,0.23442318818974184,0.39999999999999997,1.1518774614324467e-15,0.001,0.95,0,0.007681650717674789,True,0.5064194423528392,0.7655768118102582,0.0197067284216851,-0.014064594039269098,,,,0.0,4.7258629905680664e-11,2.440533742801323e-08,0.19624918805116365,0.007419753522276132,-0.19624916364582623
