feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
without_predictability_proxies,spectral_entropy,0.3877327796499207,0.06487492603195619,0.49050059421088327,positive,0.18270466304790212,0.18270466304790212,
without_predictability_proxies,perm_entropy,0.24465927788285233,0.03186734855163727,0.5890592637373933,positive,0.09578869976077345,0.09578869976077345,
without_predictability_proxies,snr_db,0.15968876121693173,0.015282019269883618,-0.18408103266714262,negative,0.011755675040280612,0.011755675040280612,
without_predictability_proxies,sample_entropy,0.10502620513403274,0.02459002388165196,0.5668888331285787,positive,0.09670891762033432,0.09670891762033432,
without_predictability_proxies,ac_timescale,0.0808556877262735,0.022228297513349298,0.039004388117277744,positive,0.17056353830115664,0.17056353830115664,
without_predictability_proxies,nl_gain,0.06676898748996138,0.03668337269491197,-0.12385612964862866,negative,-0.08742276065455115,0.08742276065455115,
without_predictability_proxies,dom_freq,0.0479703618921964,0.009443352344970925,0.056052241692395775,positive,-0.025291998068924456,0.025291998068924456,
without_predictability_proxies,lyapunov,0.029006308935263035,0.01159942147227845,-0.17732456813503883,negative,-0.004976522365754733,0.004976522365754733,
without_predictability_proxies,dfa_alpha,0.014759869258448327,0.012103650515973296,-0.09985139085756845,negative,0.07224014507235305,0.07224014507235305,
without_predictability_proxies,mem_capacity,0.01358395735909391,0.008358556077455698,-0.11321937167985639,negative,-0.05887146784340042,0.05887146784340042,
without_predictability_proxies,kpss_p,0.009605869015928744,0.0059424549389992505,-0.2083513354743826,negative,-0.004289297360839275,0.004289297360839275,
without_predictability_proxies,zero_one_K,0.006890415087466585,0.002416296340504442,0.3884759138461024,positive,0.07638510855644927,0.07638510855644927,
without_predictability_proxies,ami_first_min,0.004071913658224723,0.006505796788280046,-0.2368454845771042,negative,0.03773148805369559,0.03773148805369559,
without_predictability_proxies,adf_p,0.002822212253227989,0.010681350952616745,-0.04785651339815321,negative,0.017368833147540834,0.017368833147540834,
