family,n,mean_advantage,median_advantage,std_advantage,win_rate_gt0,win_rate_gt_threshold,mean_nrmse_esn_matched,mean_nrmse_qrc_spin
overall,1000,-0.40876154274749227,-0.30949664552882183,0.41155026696178826,0.082,0.036,0.6377225782887223,1.0464841210362146
chaotic_flow,200,-0.5635868591559094,-0.6037987649580531,0.37501300319189834,0.06,0.05,0.5332226341627034,1.0968094933186128
chaotic_map,200,-0.5980280752140026,-0.7053406451785507,0.2917162485291974,0.015,0.005,0.24593734052489175,0.8439654157388943
colored_noise,20,-0.022536120254244243,-0.0287915829704289,0.07809406506217897,0.2,0.1,1.2310582995962753,1.2535944198505193
input_driven,100,-0.3460357824600417,-0.27233719321698324,0.2598185176618058,0.0,0.0,0.6732907432004867,1.0193265256605282
linear_stochastic,60,-0.14083288001016378,-0.05207366819887535,0.232477616727606,0.1,0.0,0.9284884455227405,1.0693213255329044
long_range,40,-0.02308992287928801,-0.021634083308406098,0.06110047976865516,0.25,0.05,1.0187765816319587,1.0418665045112465
nonlinear_stochastic,120,-0.016063945603923494,-0.017436415017569852,0.03320891825933218,0.20833333333333334,0.05,1.0063700024119842,1.0224339480159077
nonstationary,140,-0.19756178112296097,-0.08313232969758311,0.3183260167202758,0.15714285714285714,0.10714285714285714,1.04523648566663,1.242798266789591
oscillatory,120,-0.8535363556412848,-0.8958411181213639,0.46609855057058663,0.0,0.0,0.21985387299850037,1.073390228639785
