feature,importance_mean,ci_low,ci_high,selection_rate,direction,corr_with_advantage
spectral_entropy,0.19812619596733758,0.1469866857874663,0.37178288544616794,1.0,positive,0.49050059421088327
perm_entropy,0.18382314315072792,0.09627865576833947,0.30821565775695403,1.0,positive,0.5890592637373933
pred_nrmse_gbm,0.14627429244767728,0.09555163797824177,0.29244925078216394,1.0,positive,0.003742710499763969
snr_db,0.106723422387763,0.058391830071854896,0.1830863049284457,1.0,negative,-0.18408103266714262
dom_freq,0.06519446998133532,0.03166345951797095,0.07096115772358606,1.0,positive,0.056052241692395775
ac_timescale,0.06341733660510633,0.05946468682529357,0.14503644319933273,1.0,positive,0.039004388117277744
sample_entropy,0.06136067433672339,0.023750058715532985,0.1311442843938894,1.0,positive,0.5668888331285787
dfa_alpha,0.03173112450921577,0.016160729644435476,0.074093902748151,1.0,negative,-0.09985139085756845
lyapunov,0.02023511710189684,0.010459089289987752,0.04224377880942566,1.0,negative,-0.17732456813503883
nl_gain,0.018126566216737562,0.012716198068265908,0.04141595906700722,1.0,negative,-0.12385612964862866
mem_capacity,0.015778972581597325,0.007621822632975998,0.021946584746620517,1.0,negative,-0.11321937167985639
kpss_p,0.011769740206849672,0.006237486912327629,0.03326931035295538,1.0,negative,-0.2083513354743826
r2_linear,0.007968194278063105,0.004333461494053524,0.029136563671330953,1.0,negative,-0.42377048793161176
ami_first_min,0.007313372165923993,0.0029190482119959968,0.020575452344270592,1.0,negative,-0.2368454845771042
zero_one_K,0.006264361296003576,0.0022721032841093373,0.03360932310581678,1.0,positive,0.3884759138461024
adf_p,0.0033107767136088774,0.002000528112929989,0.014314569869693563,1.0,negative,-0.04785651339815321
