feature_set,description,n_samples,n_candidate_features,n_features_used,features_used,regression_r2_mean,regression_mae_mean,classification_roc_auc_mean,top_features,notes
all,All schema-v1 core axis fields.,1000,20,16,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,adf_p,kpss_p,dfa_alpha,perm_entropy,sample_entropy,pred_nrmse_gbm",0.756570082774447,0.12429835073262403,0.8144515347427831,"spectral_entropy,perm_entropy,pred_nrmse_gbm,snr_db",SHAP not available; skipped SHAP importances
without_r2_linear,All core axis fields except the direct linear predictability score.,1000,19,15,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,adf_p,kpss_p,dfa_alpha,perm_entropy,sample_entropy,pred_nrmse_gbm",0.7619656279509889,0.1248324261853954,0.8191763335029607,"spectral_entropy,perm_entropy,pred_nrmse_gbm,snr_db",SHAP not available; skipped SHAP importances
without_predictability_proxies,"Core axis fields excluding r2_linear, forecastability, and pred_nrmse_gbm.",1000,17,14,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,adf_p,kpss_p,dfa_alpha,perm_entropy,sample_entropy",0.7550472931210951,0.12583034423329803,0.8080543154761906,"spectral_entropy,perm_entropy,snr_db,sample_entropy",SHAP not available; skipped SHAP importances
chaos_nonlinearity_complexity_only,"Restricted to chaos, nonlinearity, spectral complexity, and entropy features.",1000,9,7,"nl_gain,lyapunov,zero_one_K,spectral_entropy,dfa_alpha,perm_entropy,sample_entropy",0.69150836754385,0.15273732296945955,0.7077067238002714,"perm_entropy,spectral_entropy,sample_entropy,nl_gain",SHAP not available; skipped SHAP importances
