dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,1100,800,15,0.4484220205301384,0.6692378009944764,-0.2208157804643379,baseline_preferred,-0.14040552662054845,baseline_preferred,0.03872170209411778,-1.8946696149233004,-0.7056102716364467,0.08041025384378944,True
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,1101,800,17,1.0797190267078107,1.1189714531988113,-0.0392524264910005,near_tie,-0.18337428236949407,baseline_preferred,0.07118865432346931,-2.5110865990925557,-0.6834899384680593,0.14412185587849358,False
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,1102,800,14,0.3348028955362906,0.6651495725334717,-0.330346676997181,baseline_preferred,-0.2127130629465211,baseline_preferred,0.02151498353789554,-2.1720938321023406,-0.7514905966247997,0.11763361405065992,True
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,1103,800,12,0.4469384422280919,0.8776630556648334,-0.4307246134367414,baseline_preferred,-0.4042112745049258,baseline_preferred,0.022062604527549802,-1.6993653518518528,-0.5805357260756187,0.026513338931815622,True
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,1104,800,16,0.4128964198077183,0.5403929948523079,-0.1274965750445895,baseline_preferred,-0.18337428236949407,baseline_preferred,0.038121167086833,-2.152977788079857,-0.7597228748433137,0.055877707324904574,True
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,1105,800,15,0.4641805468290697,0.6579210253828217,-0.193740478553752,baseline_preferred,-0.17375069502806492,baseline_preferred,0.040517532972637965,-2.3864099467328357,-0.7586183715206792,0.019989783525687088,True
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,1106,800,9,0.0261875246254009,0.1917461109574427,-0.1655585863320417,baseline_preferred,-0.2835708715034593,baseline_preferred,0.00894904224650759,-1.9129620667782392,-0.4730094614962428,0.11801228517141757,True
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,1107,800,10,0.0260885905883877,0.1902988481921071,-0.1642102576037193,baseline_preferred,-0.1500543339539885,baseline_preferred,0.005978064620332818,-1.665477986109117,-0.34645127006425136,0.014155923649730784,True
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,1108,800,10,0.0734896317402859,0.285683057038545,-0.212193425298259,baseline_preferred,-0.32216746826291004,baseline_preferred,0.01398210071236728,-1.632263850643137,-0.6259543917829095,0.10997404296465105,True
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,1109,800,14,0.5428844902739792,0.865590609595364,-0.3227061193213848,baseline_preferred,-0.14642628075523123,baseline_preferred,0.021762631386957682,-2.5868351234422597,-0.5460651091899698,0.1762798385661536,True
mackey_glass_tau21_s010:1110:800,mackey_glass_tau21_s010,chaotic_flow,synthetic,forecast,1110,800,11,0.0739612620340749,0.3152915346637435,-0.2413302726296686,baseline_preferred,-0.32064312773218495,baseline_preferred,0.011548569421074715,-1.7145829933452377,-0.5866506891579056,0.07931285510251634,True
mackey_glass_tau16_s011:1111:800,mackey_glass_tau16_s011,chaotic_flow,synthetic,forecast,1111,800,9,0.0124373049950521,0.14780594008081,-0.1353686350857579,baseline_preferred,-0.29171466836593013,baseline_preferred,0.0073849347581185715,-1.919243502622149,-0.3474687945438759,0.15634603328017224,True
mackey_glass_tau37_s012:1112:800,mackey_glass_tau37_s012,chaotic_flow,synthetic,forecast,1112,800,16,0.261211942396531,0.412883181141091,-0.15167123874456,baseline_preferred,-0.009178254233499578,near_tie,0.057280335833906015,-2.3541611626287335,-0.560831307961169,0.14249298451106043,False
mackey_glass_tau39_s013:1113:800,mackey_glass_tau39_s013,chaotic_flow,synthetic,forecast,1113,800,16,0.5469523782581999,0.7100178962920877,-0.1630655180338878,baseline_preferred,-0.2097885205796869,baseline_preferred,0.04139122024369157,-2.1170224087054126,-0.7779854259341711,0.046723002545799086,True
mackey_glass_tau27_s014:1114:800,mackey_glass_tau27_s014,chaotic_flow,synthetic,forecast,1114,800,13,0.263994254915819,0.627843937893128,-0.3638496829773089,baseline_preferred,-0.2587153159588012,baseline_preferred,0.02014707526284122,-1.6129612189198632,-0.5234837055132736,0.1051343670185077,True
mackey_glass_tau25_s015:1115:800,mackey_glass_tau25_s015,chaotic_flow,synthetic,forecast,1115,800,12,0.1253817595468546,0.3927832639196457,-0.2674015043727911,baseline_preferred,-0.23267598469512912,baseline_preferred,0.017114081971501854,-2.0807811365059337,-0.5609859046887038,0.034725519677661965,True
mackey_glass_tau36_s016:1116:800,mackey_glass_tau36_s016,chaotic_flow,synthetic,forecast,1116,800,16,0.3015732783798672,0.4824929047080449,-0.1809196263281777,baseline_preferred,-0.10972006041726795,baseline_preferred,0.041209252402125224,-2.491719624212229,-0.4975715417875357,0.07119956591090976,True
mackey_glass_tau23_s017:1117:800,mackey_glass_tau23_s017,chaotic_flow,synthetic,forecast,1117,800,11,0.1441855215371417,0.2661717058862822,-0.1219861843491405,baseline_preferred,-0.3083413658503608,baseline_preferred,0.017388784058841686,-1.7408786411699204,-0.6297952757263732,0.18635518150122032,True
mackey_glass_tau42_s018:1118:800,mackey_glass_tau42_s018,chaotic_flow,synthetic,forecast,1118,800,18,1.155920462411648,1.0154766852932462,0.1404437771184017,qrc_useful,-0.17375069502806492,baseline_preferred,0.36420203735726175,-2.3235908901144184,-0.7154321272100432,0.3141944721464666,False
mackey_glass_tau45_s019:1119:800,mackey_glass_tau45_s019,chaotic_flow,synthetic,forecast,1119,800,16,0.9717256193691832,0.9891150262544776,-0.0173894068852945,near_tie,-0.18337428236949407,baseline_preferred,0.07249005393442577,-2.449078618362963,-0.7084810355654104,0.16598487548419957,False
