name,family,linear,esn,qrc_J1,qrc_J0,adv_quantum,adv_noCoupling
mackey_glass_tau34_s000,chaotic_flow,0.0009625146147976529,0.08972855042729286,0.22989704829244662,0.16524342248123353,-0.14016849786515376,-0.07551487205394067
mackey_glass_tau42_s001,chaotic_flow,0.0009242975613483462,0.09498673932784224,0.23611046108483588,0.1600779933304683,-0.14112372175699364,-0.06509125400262605
mackey_glass_tau28_s002,chaotic_flow,0.0008812337803549388,0.12854093766158223,0.25203859010333923,0.21102728368317525,-0.123497652441757,-0.08248634602159302
mackey_glass_tau29_s003,chaotic_flow,0.0009014662758469545,0.10061131706356302,0.22513609617661937,0.19025714347632344,-0.12452477911305634,-0.08964582641276042
mackey_glass_tau33_s004,chaotic_flow,0.0009071043507042042,0.0744372042058313,0.21846296152479375,0.15587317634779077,-0.14402575731896244,-0.08143597214195947
mackey_glass_tau38_s005,chaotic_flow,0.0009242957522581563,0.1015991822548926,0.23685437366186313,0.16064642566393694,-0.1352551914069705,-0.05904724340904434
mackey_glass_tau17_s006,chaotic_flow,0.0009191928807827328,0.09557396618556414,0.21308403912738172,0.20523762814796254,-0.11751007294181758,-0.10966366196239839
mackey_glass_tau19_s007,chaotic_flow,0.001001503889508532,0.08775939821073135,0.22841416300994233,0.20008098370953845,-0.14065476479921096,-0.1123215854988071
mackey_glass_tau20_s008,chaotic_flow,0.0010144455243928305,0.1009104444600707,0.22899052845923806,0.3208934579757135,-0.12808008399916737,-0.2199830135156428
mackey_glass_tau31_s009,chaotic_flow,0.0009910465973067546,0.10907207512029271,0.233240506024427,0.17252796988275582,-0.12416843090413429,-0.0634558947624631
mackey_glass_tau21_s010,chaotic_flow,0.0009602590472961601,0.10376119918344079,0.2268665782625443,0.3056776844095336,-0.12310537907910352,-0.2019164852260928
mackey_glass_tau16_s011,chaotic_flow,0.0009098948405343667,0.08956905523758343,0.19928027050781857,0.20324964935457182,-0.10971121527023514,-0.11368059411698839
mackey_glass_tau37_s012,chaotic_flow,0.0008531539438056449,0.0746801722847983,0.22069138347171863,0.15870219608181055,-0.14601121118692034,-0.08402202379701225
mackey_glass_tau39_s013,chaotic_flow,0.0008607032451433966,0.06491358643015278,0.23351562037988044,0.20405810857248657,-0.16860203394972767,-0.1391445221423338
mackey_glass_tau27_s014,chaotic_flow,0.0009550782689383318,0.10398441140510042,0.24174130017658343,0.19163689560742933,-0.137756888771483,-0.0876524842023289
mackey_glass_tau25_s015,chaotic_flow,0.0009914208736179655,0.10050206140023228,0.22697029086080497,0.19477165689196327,-0.12646822946057268,-0.09426959549173099
mackey_glass_tau36_s016,chaotic_flow,0.0008978761948679013,0.07061488788622734,0.2130951143895422,0.1804609913092443,-0.14248022650331488,-0.10984610342301697
mackey_glass_tau23_s017,chaotic_flow,0.0010487688102677696,0.11225910771461914,0.22018844611063582,0.2704013313205824,-0.10792933839601668,-0.15814222360596328
mackey_glass_tau42_s018,chaotic_flow,0.0008006333578941486,0.09777358084436813,0.24405165486213926,0.1603318964092514,-0.14627807401777113,-0.06255831556488328
mackey_glass_tau45_s019,chaotic_flow,0.0007325068615089656,0.08859815163050898,0.23582856823203366,0.15421814889684907,-0.1472304166015247,-0.06561999726634009
lorenz63_rho30.09_s000,chaotic_flow,0.0001737674696217907,0.07218333847510258,0.24319908299876186,0.2302834329612423,-0.17101574452365928,-0.1581000944861397
lorenz63_rho43.24_s001,chaotic_flow,0.000534555614653418,0.10092372389529286,0.20129097076975996,0.17721912887358615,-0.1003672468744671,-0.07629540497829329
lorenz63_rho23.42_s002,chaotic_flow,1.9183797386182107e-05,0.21091350017885332,1.5688365041840309,1.0535498356690485,-1.3579230040051775,-0.8426363354901951
lorenz63_rho44.69_s003,chaotic_flow,0.00072181611064115,0.15701354651442656,0.2523905238347855,0.3105681821455104,-0.09537697732035894,-0.15355463563108385
lorenz63_rho30.88_s004,chaotic_flow,0.0003503169850228211,0.11423693888330125,0.24539943717785775,0.18897164062668578,-0.1311624982945565,-0.07473470174338454
lorenz63_rho35.53_s005,chaotic_flow,0.0003772184335506967,0.09562674889506524,0.19650387209317707,0.18656516371307416,-0.10087712319811183,-0.09093841481800892
lorenz63_rho40.97_s006,chaotic_flow,0.0004666661603311527,0.09405230617213985,0.20649770245010676,0.19827580710765838,-0.11244539627796692,-0.10422350093551853
lorenz63_rho27.93_s007,chaotic_flow,0.00021179223788495412,0.08670444668832634,0.21381067863760686,0.18276348324605854,-0.1271062319492805,-0.0960590365577322
lorenz63_rho28.87_s008,chaotic_flow,0.00019929548783356081,0.08149072799257077,0.23860291995740038,0.1834980984994096,-0.15711219196482962,-0.10200737050683882
lorenz63_rho24.81_s009,chaotic_flow,0.0001544853723632134,0.09565204928492145,0.2248583828800963,0.23908048117577027,-0.12920633359517486,-0.1434284318908488
lorenz63_rho38.13_s010,chaotic_flow,0.0004281354554757096,0.11703252078102468,0.25164277828960524,0.17924241863577176,-0.13461025750858058,-0.06220989785474708
lorenz63_rho45.82_s011,chaotic_flow,0.0008370347088923589,0.12353213409119979,0.24642922681867982,0.19227299199540657,-0.12289709272748003,-0.06874085790420678
lorenz63_rho37.08_s012,chaotic_flow,0.0003996830401634239,0.09487542374222187,0.19966772127799273,0.2386973663408728,-0.10479229753577086,-0.14382194259865094
lorenz63_rho32.00_s013,chaotic_flow,0.00025776205779538553,0.09876603860710792,0.2282132275401385,0.19993155489167763,-0.1294471889330306,-0.10116551628456971
lorenz63_rho39.49_s014,chaotic_flow,0.0004737542791194095,0.10251894082807793,0.22329328827677075,0.19148373604102364,-0.12077434744869282,-0.08896479521294572
lorenz63_rho26.04_s015,chaotic_flow,0.00013824628759646372,0.067016768096973,0.2187840392160089,0.12241379567829398,-0.15176727111903587,-0.05539702758132098
lorenz63_rho32.84_s016,chaotic_flow,0.00021104146000054037,0.08800522649403385,0.24960642068736597,0.17474968125329454,-0.16160119419333213,-0.0867444547592607
lorenz63_rho34.38_s017,chaotic_flow,0.00033500276461776406,0.09190797783712519,0.2210275748513123,0.19438620633690282,-0.12911959701418713,-0.10247822849977763
lorenz63_rho41.93_s018,chaotic_flow,0.0005137379685993716,0.09529192697966246,0.21036046442108466,0.21114600813137807,-0.1150685374414222,-0.11585408115171561
lorenz63_rho22.98_s019,chaotic_flow,1.1716807692091965e-05,0.09038741293389183,1.0011270622698991,0.9367107486355741,-0.9107396493360073,-0.8463233357016823
rossler_c8.73_s000,chaotic_flow,0.0001977750532620046,0.12963251659140945,0.273713876939306,0.14631930691505465,-0.14408136034789654,-0.0166867903236452
rossler_c7.94_s001,chaotic_flow,0.000130473687578985,0.0938158495015752,0.2520166635024314,0.1335114667510364,-0.1582008140008562,-0.03969561724946119
rossler_c4.05_s002,chaotic_flow,1.736278086864982e-05,0.020637796975957686,0.15774882174739563,0.11847635501444727,-0.13711102477143794,-0.09783855803848958
rossler_c7.60_s003,chaotic_flow,7.492314046256297e-05,0.07487901904498603,0.20480873186270798,0.11301968852751887,-0.12992971281772195,-0.038140669482532835
rossler_c6.23_s004,chaotic_flow,5.430817737100381e-05,0.0602505069301985,0.20112207887975725,0.1002052918362726,-0.14087157194955874,-0.0399547849060741
rossler_c8.89_s005,chaotic_flow,0.00017178982639049026,0.08963245668574278,0.23582611577465998,0.1533343058523742,-0.14619365908891718,-0.06370184916663142
rossler_c8.13_s006,chaotic_flow,0.0001983745328912576,0.12832013626010902,0.25901701988449916,0.17288268918970193,-0.13069688362439014,-0.04456255292959291
rossler_c6.96_s007,chaotic_flow,5.405796847981181e-05,0.08409796875051198,0.20901449718827603,0.12382217189962393,-0.12491652843776405,-0.039724203149111945
rossler_c5.57_s008,chaotic_flow,3.922720074507811e-05,0.05033214758839142,0.203322896594414,0.2225072401522477,-0.15299074900602258,-0.1721750925638563
rossler_c5.22_s009,chaotic_flow,3.409024651297272e-05,0.04759261576926991,0.2087262777857005,0.10253300908033977,-0.1611336620164306,-0.05494039331106986
rossler_c4.90_s010,chaotic_flow,1.8196682204964767e-05,0.03456477691140368,0.16508725126243703,0.11037248577766864,-0.13052247435103337,-0.07580770886626496
rossler_c8.37_s011,chaotic_flow,0.00018122981616978048,0.12912277650863055,0.26529963348146696,0.19102764688900942,-0.1361768569728364,-0.06190487038037887
rossler_c6.39_s012,chaotic_flow,6.0950325105929805e-05,0.07057242224730632,0.21214252791548038,0.1419675650651981,-0.14157010566817407,-0.07139514281789176
rossler_c5.85_s013,chaotic_flow,2.7001063704751324e-05,0.0453892318719476,0.17604064572856212,0.17319072105131642,-0.13065141385661452,-0.12780148917936882
rossler_c6.57_s014,chaotic_flow,6.879305337911591e-05,0.06482814579951415,0.21484399643827376,0.09997634354017382,-0.1500158506387596,-0.035148197740659665
rossler_c4.51_s015,chaotic_flow,2.1332623855873917e-05,0.026919232790109174,0.15057738166281584,0.0948609295504847,-0.12365814887270667,-0.06794169676037552
rossler_c5.43_s016,chaotic_flow,3.7373627588777384e-05,0.0512206928684145,0.20442081203983822,0.11750732410442316,-0.15320011917142373,-0.06628663123600867
rossler_c7.34_s017,chaotic_flow,9.117484064650261e-05,0.08763486204273518,0.21669413951144068,0.11935656853842118,-0.1290592774687055,-0.031721706495685995
rossler_c7.08_s018,chaotic_flow,9.446839011102408e-05,0.08859854120622206,0.23211380194469716,0.22186894233529314,-0.1435152607384751,-0.13327040112907107
rossler_c4.43_s019,chaotic_flow,1.781018745444868e-05,0.02482353232856389,0.15504274318765776,0.13337646500516287,-0.13021921085909388,-0.10855293267659898
logistic_r3.7811_s000,chaotic_map,0.694293588726795,0.6703602597358904,0.3123315897991415,0.2601604561645607,0.3580286699367489,0.41019980357132974
logistic_r3.7298_s001,chaotic_map,0.6791598906822892,0.6302506117499123,0.30819231307519,0.19151458364900598,0.32205829867472224,0.4387360281009063
logistic_r3.9605_s002,chaotic_map,5.451436319122505e-13,6.269971180381037e-13,2.3463582843622812e-09,3.8520304586314763e-11,-2.3457312872442433e-09,-3.789330746827666e-11
logistic_r3.9984_s003,chaotic_map,0.9923244873290744,0.9491431586152289,0.5889853794390265,0.6094049456433264,0.3601577791762024,0.33973821297190254
logistic_r3.8279_s004,chaotic_map,0.5699513047802038,0.4489171248166957,0.3390950197574531,0.3568903228502091,0.10982210505924261,0.0920268019664866
logistic_r3.9325_s005,chaotic_map,0.9063296410964887,0.7670851361130796,0.5178497588875979,0.3852825207267026,0.24923537722548172,0.381802615386377
logistic_r3.8640_s006,chaotic_map,0.6401037284374318,0.5003135244276081,0.4172839583408219,0.3561059490470671,0.08302956608678624,0.14420757538054102
logistic_r3.6165_s007,chaotic_map,0.23640641859350472,0.2947809239910004,0.13120493204583536,0.18115385956185015,0.16357599194516506,0.11362706442915027
logistic_r3.6226_s008,chaotic_map,0.25377754743464326,0.30992645541868885,0.14137113271592078,0.17138399656721726,0.16855532270276807,0.1385424588514716
logistic_r3.6491_s009,chaotic_map,0.3497738765043791,0.38016893792554884,0.19462364572374344,0.17634810904842296,0.1855452922018054,0.20382082887712588
logistic_r3.9420_s010,chaotic_map,0.9046876611182341,0.7837472999057534,0.5225148449692806,0.4337957901052343,0.26123245493647285,0.34995150980051914
logistic_r3.7705_s011,chaotic_map,0.6717194593184463,0.6360044245275681,0.2970435484910111,0.23407291097428598,0.338960876036557,0.40193151355328216
logistic_r3.6714_s012,chaotic_map,0.4907528729536672,0.49534309840786855,0.24455340027237835,0.16933797783704185,0.25078969813549024,0.3260051205708267
logistic_r3.7042_s013,chaotic_map,0.6664288353208112,0.5785885862948216,0.27965934162034056,0.18127110753363,0.298929244674481,0.3973174787611916
logistic_r3.8803_s014,chaotic_map,0.7460214377539652,0.5986894928951071,0.4359719795255232,0.3584673706046497,0.1627175133695839,0.24022212229045736
logistic_r3.8526_s015,chaotic_map,0.030412370453703454,0.031502311045618,0.14203461599841213,0.02423549947193296,-0.11053230495279413,0.007266811573685042
logistic_r3.7406_s016,chaotic_map,9.296323596168566e-13,6.169297744953416e-13,0.05987868998379227,3.990163302233701e-10,-0.05987868998317534,-3.983994004488748e-10
logistic_r3.9014_s017,chaotic_map,0.7900159953110852,0.6275081537147741,0.4746579964745338,0.4082513121435188,0.15285015724024026,0.2192568415712553
logistic_r3.6964_s018,chaotic_map,0.6374470701435592,0.5830752731922321,0.27543807182111335,0.17713546272681452,0.3076372013711187,0.40593981046541755
logistic_r3.8078_s019,chaotic_map,0.7310676233537559,0.698416806517986,0.3366941923763016,0.287381506264772,0.3617226141416844,0.411035300253214
henon_a1.124_s000,chaotic_map,0.39771180576529264,0.4384487597026986,0.24920622311332288,0.22460176846356503,0.1892425365893757,0.21384699123913356
henon_a1.224_s001,chaotic_map,0.7209579247860793,0.6541258806330612,0.42987779415921806,0.3050096570653192,0.22424808647384314,0.349116223567742
henon_a1.010_s002,chaotic_map,1.1367389262327942e-12,1.6461704512954896e-13,7.545358481609447e-08,4.2917841703161656e-11,-7.545342019904934e-08,-4.2753224658032104e-11
henon_a1.194_s003,chaotic_map,0.6436966145756383,0.6042595276398023,0.3464497706450932,0.2882157063158741,0.2578097569947091,0.31604382132392816
henon_a1.399_s004,chaotic_map,0.8577586930336315,0.8174151887309703,0.5506367347501963,0.4615453166033983,0.26677845398077404,0.355869872127572
henon_a1.252_s005,chaotic_map,1.5263410108692505e-12,2.481664401475432e-12,3.8559968700645856e-05,0.2894877470830237,-3.855996621898145e-05,-0.28948774708054203
henon_a1.032_s006,chaotic_map,1.974986685125992e-11,5.984345186606218e-12,0.0002400681097788226,0.02209675150690273,-0.00024006810379447743,-0.022096751500918384
henon_a1.339_s007,chaotic_map,0.7783537120318521,0.7378150071505737,0.49547398886985367,0.40715519228398467,0.24234101828072002,0.330659814866589
henon_a1.079_s008,chaotic_map,0.11951039033164013,0.12284188386188749,0.10903325961266656,0.11312553376562956,0.013808624249220927,0.00971635009625793
henon_a1.360_s009,chaotic_map,0.8034742721529993,0.7735988609064597,0.514846739419093,0.43483163823632903,0.2587521214873667,0.33876722267013065
henon_a1.047_s010,chaotic_map,1.0929779764703239e-11,3.7619429108646874e-12,0.000292574636240022,0.038882330053957075,-0.0002925746324780791,-0.03888233005019513
henon_a1.295_s011,chaotic_map,0.6571488619446719,0.6232312643462314,0.4790785587953558,0.44069027459348803,0.14415270555087561,0.1825409897527434
henon_a1.351_s012,chaotic_map,0.8370084384081476,0.8051143448330632,0.49366642413399203,0.44803770826078354,0.3114479206990712,0.35707663657227967
henon_a1.101_s013,chaotic_map,5.889533094863059e-12,3.3697375466421737e-12,1.647330759402822e-05,0.11318285476212431,-1.6473304224290673e-05,-0.11318285475875457
henon_a1.082_s014,chaotic_map,0.12487825180001519,0.13683785612228774,1.3261459717133564,0.1214276613673212,-1.1893081155910685,0.01541019475496655
henon_a1.163_s015,chaotic_map,0.6694323902497626,0.6178207299883427,0.37563041912994827,0.28494364615255513,0.24219031085839443,0.33287708383578757
henon_a1.272_s016,chaotic_map,0.253620236730465,0.2394371649996575,0.4651473978335206,0.4679167196556349,-0.2257102328338631,-0.2284795546559774
henon_a1.150_s017,chaotic_map,0.6108302224538911,0.58153545551423,0.3135870970246861,0.28986955032449463,0.2679483584895439,0.2916659051897354
henon_a1.306_s018,chaotic_map,0.006634299009331107,0.002905891218439615,0.023898155321282703,0.18941348528926483,-0.02099226410284309,-0.1865075940708252
henon_a1.219_s019,chaotic_map,0.7267321431493203,0.6618332808010209,0.39503788842627063,0.3133099330882695,0.26679539237475025,0.3485233477127514
lorenz63_rho30.09_s000_snr5db,chaotic_flow,0.5634932957786369,0.5690217128311693,0.6403249811659931,0.6475732653275657,-0.07130326833482381,-0.07855155249639634
lorenz63_rho43.24_s001_snr10db,chaotic_flow,0.3912041518778976,0.4072319527706814,0.44419643409460563,0.4481630993929187,-0.036964481323924214,-0.04093114662223729
lorenz63_rho23.42_s002_snr20db,chaotic_flow,0.6261961927407789,0.5937705006322047,1.0744326194456806,1.0730096161607585,-0.48066211881347587,-0.4792391155285538
lorenz63_rho44.69_s003_snr5db,chaotic_flow,0.5789700353651698,0.5799221925224772,0.6420362487257716,0.6697308913190947,-0.062114056203294354,-0.08980869879661746
lorenz63_rho30.88_s004_snr10db,chaotic_flow,0.42269119839936753,0.4361728515985571,0.48125994230539193,0.4906530524520992,-0.04508709070683481,-0.054480200853542105
lorenz63_rho35.53_s005_snr20db,chaotic_flow,0.151464773140086,0.21059577375657412,0.24608587784414596,0.2305471129004616,-0.03549010408757183,-0.01995133914388747
lorenz63_rho40.97_s006_snr5db,chaotic_flow,0.5889219920842478,0.5854486621485584,0.6461965685828706,0.6690837563283205,-0.06074790643431216,-0.08363509417976212
lorenz63_rho27.93_s007_snr10db,chaotic_flow,0.37699882414536723,0.41115596610437805,0.4555925867744922,0.4624420051319518,-0.04443662067011417,-0.05128603902757378
lorenz63_rho28.87_s008_snr20db,chaotic_flow,0.15502007543715185,0.22782188884528354,0.27035412488659977,0.22869147987970717,-0.04253223604131623,-0.0008695910344236335
lorenz63_rho24.81_s009_snr5db,chaotic_flow,0.689148478988526,0.6885378710040022,0.787466666449754,0.8186813993726529,-0.09892879544575184,-0.13014352836865073
lorenz63_rho38.13_s010_snr10db,chaotic_flow,0.4224787238123288,0.440186512798534,0.4885446166944369,0.47351879372709166,-0.04835810389590289,-0.03333228092855767
lorenz63_rho45.82_s011_snr20db,chaotic_flow,0.16725787750479276,0.2541902123919887,0.28473855169297907,0.2588812379634689,-0.03054833930099038,-0.004691025571480212
lorenz63_rho37.08_s012_snr5db,chaotic_flow,0.6137635281862124,0.6081611352358948,0.6926471692442993,0.7096596426721904,-0.08448603400840449,-0.10149850743629563
lorenz63_rho32.00_s013_snr10db,chaotic_flow,0.3900690731360968,0.4127290502603224,0.4629909096972478,0.45483507750496927,-0.050261859436925405,-0.04210602724464685
lorenz63_rho39.49_s014_snr20db,chaotic_flow,0.17410882367993416,0.23889033125662976,0.27112993140403496,0.297161360494216,-0.032239600147405206,-0.05827102923758623
lorenz63_rho26.04_s015_snr5db,chaotic_flow,0.5498764920869159,0.5714244628926808,0.6096486011937032,0.6329053872544987,-0.03822413830102245,-0.06148092436181796
lorenz63_rho32.84_s016_snr10db,chaotic_flow,0.42280137424389136,0.43209248680135415,0.4886261237202062,0.4809839915254161,-0.05653363691885205,-0.04889150472406195
lorenz63_rho34.38_s017_snr20db,chaotic_flow,0.157074709119766,0.2195963246900991,0.2643711108492614,0.22466826036629783,-0.044774786159162305,-0.0050719356761987355
lorenz63_rho41.93_s018_snr5db,chaotic_flow,0.6157110782718485,0.610319617470306,0.661537615301165,0.6892295451003374,-0.0512179978308589,-0.07890992763003135
lorenz63_rho22.98_s019_snr10db,chaotic_flow,1.0443191748196312,1.0146268140389383,1.3482463710897397,1.1969469724367634,-0.3336195570508014,-0.18232015839782512
