feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
r2_linear,0.9447735152164304,0.06444514394543503,-0.4967830337276807,negative,-0.02300610212329324,0.02300610212329324,
ac_timescale,0.2906037585185802,0.06487895284113639,0.06848201701315326,positive,0.11203022883107354,0.11203022883107354,
pred_nrmse_gbm,0.06011857754679378,0.03488540316808698,0.30269959247854283,positive,0.1507689137638593,0.1507689137638593,
snr_db,0.0568342557466726,0.0316400954188517,0.02401003403185364,positive,0.10215560500359508,0.10215560500359508,
lyapunov,0.039498759505083705,0.03357065496733823,0.14428156010807516,positive,0.05203470322654706,0.05203470322654706,
nl_gain,0.030555148208164955,0.0573942375647561,0.40525689085482597,positive,0.10459461427479991,0.10459461427479991,
zero_one_K,0.019821464012109536,0.06641062619564156,0.133557042029544,positive,0.059380600395566724,0.059380600395566724,
kpss_p,0.015631630987152832,0.021351803876789054,-0.15390701887976374,negative,-0.029296195886867108,0.029296195886867108,
dom_freq,0.013198074678440173,0.019957300821584204,0.129119325019579,positive,0.03347639246743029,0.03347639246743029,
dfa_alpha,0.012263818918384755,0.00977324872778116,-0.040793658345051706,negative,0.09429585954880382,0.09429585954880382,
mem_capacity,0.011985583507220144,0.002673249596724337,-0.1864850947725134,negative,-0.02692352432341125,0.02692352432341125,
spectral_entropy,0.010868128597473692,0.016551338010823903,0.26100004089552625,positive,0.26048110613629655,0.26048110613629655,
spectral_flatness,0.007750317053062355,0.01501711329285484,0.10229786348137217,positive,-0.12833675766537164,0.12833675766537164,
ami_first_min,0.007407988338840113,0.0204434155598707,0.06831275249438927,positive,0.1213453609437759,0.1213453609437759,
perm_entropy,0.004457362371010252,0.00908452544366354,0.10717558192859732,positive,-0.05182177741489409,0.05182177741489409,
adf_p,0.0001320760392350996,0.007291772371652735,0.04013963717627908,positive,0.04315060093268774,0.04315060093268774,
