source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
0,mackey_glass_tau34_s000,chaotic_flow,forecast,1100,800,15,0.4377568930702853,1.0069801536962917,0.9815014104577191,-0.5692232606260064,-0.5437445173874338,-0.025478743238572577,-0.025478743238572577,60,6,5,5,0
1,mackey_glass_tau42_s001,chaotic_flow,forecast,1101,800,17,1.143495891794976,1.1714750855912852,1.1978995455518848,-0.0279791937963092,-0.05440365375690881,0.02642445996059961,0.02642445996059961,60,6,5,5,0
2,mackey_glass_tau28_s002,chaotic_flow,forecast,1102,800,14,0.3165006438807083,1.0442129921585876,1.0524172456543535,-0.7277123482778793,-0.7359166017736452,0.008204253495765812,0.008204253495765812,60,6,5,5,0
3,mackey_glass_tau29_s003,chaotic_flow,forecast,1103,800,12,0.4857721456951649,0.9268327732378356,0.950851503948302,-0.4410606275426707,-0.46507935825313707,0.02401873071046634,0.02401873071046634,60,6,5,5,0
4,mackey_glass_tau33_s004,chaotic_flow,forecast,1104,800,16,0.361645967900329,0.916788253419117,0.9205637525546282,-0.555142285518788,-0.5589177846542992,0.003775499135511229,0.003775499135511229,60,6,5,5,0
5,mackey_glass_tau38_s005,chaotic_flow,forecast,1105,800,15,0.3655549433752258,0.9758931685667346,1.0966492290809033,-0.6103382251915088,-0.7310942857056775,0.12075606051416876,0.12075606051416876,60,6,5,5,0
6,mackey_glass_tau17_s006,chaotic_flow,forecast,1106,800,9,0.0246036123239802,1.0401753277468329,0.9263786400640402,-1.0155717154228527,-0.90177502774006,-0.11379668768279261,-0.11379668768279261,60,6,5,5,0
7,mackey_glass_tau19_s007,chaotic_flow,forecast,1107,800,10,0.029234057535824,0.8983766498725912,0.9133919742903077,-0.8691425923367673,-0.8841579167544837,0.015015324417716469,0.015015324417716469,60,6,5,5,0
8,mackey_glass_tau20_s008,chaotic_flow,forecast,1108,800,10,0.0705445557877389,0.8849523443543342,0.9385549895087745,-0.8144077885665953,-0.8680104337210356,0.05360264515444024,0.05360264515444024,60,6,5,5,0
9,mackey_glass_tau31_s009,chaotic_flow,forecast,1109,800,14,0.4657842676239528,0.9726843049045646,1.0124671590293863,-0.5069000372806118,-0.5466828914054336,0.03978285412482174,0.03978285412482174,60,6,5,5,0
10,mackey_glass_tau21_s010,chaotic_flow,forecast,1110,800,11,0.0948801024856206,0.926744458174929,0.9575478815799965,-0.8318643556893084,-0.8626677790943759,0.030803423405067476,0.030803423405067476,60,6,5,5,0
