family,n,mean_delta_J0_minus_J1,delta_ci_low,delta_ci_high,median_delta_J0_minus_J1,frac_J1_better,mean_advantage_J1_vs_esn,mean_advantage_J0_vs_esn,mechanism_signal
overall,1000,0.021092896096290496,0.015732186893939525,0.026215349848442034,0.01286388268977856,0.608,-0.40982519983023247,-0.4309180959265229,positive
chaotic_flow,200,0.03341251611715743,0.018963465350463084,0.05002186117554077,0.018120960222680005,0.62,-0.5604322124451245,-0.593844728562282,positive
chaotic_map,200,0.04462736462266694,0.036953630063729544,0.05162680656562879,0.04185403842248181,0.75,-0.599164893866855,-0.643792258489522,positive
colored_noise,20,0.013629131535390044,-0.012533007178442562,0.03904463471657108,0.019363677756643605,0.55,-0.024577506331731076,-0.03820663786712112,null_or_mixed
input_driven,100,0.018192973471449093,0.011509321762258624,0.02425502183905334,0.01733834983279653,0.7,-0.345328799290015,-0.36352177276146397,positive
linear_stochastic,60,0.008358059311994324,8.585861623238122e-05,0.016105270394891322,0.008469217118472816,0.5666666666666667,-0.14217569840136185,-0.15053375771335617,positive
long_range,40,0.014288105883419935,0.0022097563556361384,0.026198933774179308,0.015912729780481305,0.7,-0.023210036721247614,-0.03749814260466755,positive
nonlinear_stochastic,120,0.0029349778766504667,-0.0030741174399858337,0.008651787390487478,0.0029650504248449616,0.55,-0.017229084261908136,-0.020164062138558602,null_or_mixed
nonstationary,140,0.012668775070119076,-0.0008104446357746741,0.02969281995579654,0.0,0.42857142857142855,-0.19713510991950095,-0.20980388498962005,null_or_mixed
oscillatory,120,0.0016183860116810362,-0.021665055799840557,0.02413046912478021,0.003936841276820702,0.5416666666666666,-0.8646333303259142,-0.8662517163375953,null_or_mixed
