n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
4,1.0,1.0,0.2,5,5,False,0.0,0.0,40,0.8675794338901155,0.9374191951920114,0.9013704186849709,0.9300396520853058
5,1.0,1.0,0.2,5,5,False,0.0,0.0,50,0.9249821812034519,0.9929404385212869,0.9261632097631411,0.9515861913585673
