dataset_id,nrmse_linear,nrmse_gbm,nrmse_nvar,nmae_nvar,nrmse_esn_v5,nmae_esn_v5,nrmse_qrc_m,nmae_qrc_m,advantage_qrc_m_vs_esn,nmae_advantage_qrc_m_vs_esn,qrc_m_useful,nrmse_qrc_e,nmae_qrc_e,advantage_qrc_e_vs_esn,nmae_advantage_qrc_e_vs_esn,qrc_e_useful,nrmse_qrc_d,nmae_qrc_d,advantage_qrc_d_vs_esn,nmae_advantage_qrc_d_vs_esn,qrc_d_useful,best_qrc_variant,best_qrc_advantage_vs_esn,qrc_any_win,qrc_any_useful,label_seed_count
sine_map_a0.803_s291:3391:800,1.13376220177137e-12,0.005920544441670701,9.923752666768336e-14,9.923249729371072e-14,1.315578291521616e-08,1.0164480201658539e-08,7.778919139062718e-07,7.436551112260458e-07,-7.647361309910556e-07,-7.334906310243872e-07,False,1.8785370220556983e-07,1.648555894966667e-07,-1.7469791929035367e-07,-1.5469110929500817e-07,False,0.15751447447987735,0.10591170080450876,-0.15751446132409444,-0.10591169064002856,False,qrc_e,-1.7469791929035367e-07,False,False,1
sine_map_a0.968_s293:3393:800,0.9877027612746356,0.1363017217765256,0.8943104108405756,0.7547498358326088,0.11017348527317737,0.08959381005289452,0.9633555332830341,0.8670337728695984,-0.8531820480098568,-0.7774399628167039,False,0.7861208176267929,0.6392936206064316,-0.6759473323536155,-0.5496998105535371,False,0.9879868126974412,0.8768177763066686,-0.8778133274242638,-0.7872239662537741,False,qrc_e,-0.6759473323536155,False,False,1
sine_map_a0.789_s296:3396:800,1.1355166529964114e-12,0.0059205444416707735,9.846043868839135e-14,9.846026669052135e-14,1.3866383807354886e-08,1.107707188676397e-08,5.27669559569313e-07,4.6956249802292144e-07,-5.138031757619582e-07,-4.584854261361575e-07,False,1.1490815106356689e-07,1.1484939458846235e-07,-1.01041767256212e-07,-1.0377232270169837e-07,False,0.07489864379324941,0.05875366004505541,-0.0748986299268656,-0.058753648967983525,False,qrc_e,-1.01041767256212e-07,False,False,1
sine_map_a0.958_s298:3398:800,0.9563758909416524,0.12358020800584318,0.7230261779282126,0.5805435867520321,0.07385937696202732,0.0578925364936069,0.8798180827808733,0.7069188605922581,-0.805958705818846,-0.6490263240986511,False,0.7440299220089175,0.6348355491077109,-0.6701705450468902,-0.576943012614104,False,0.9825955394640339,0.8679987169806425,-0.9087361625020065,-0.8101061804870355,False,qrc_e,-0.6701705450468902,False,False,1
sine_map_a0.887_s301:3401:800,0.4988556499889371,0.5000414858061075,0.4955630633969912,0.4128030555265463,0.51444616390297,0.4233764618988791,0.5194082477062555,0.4336320469189874,-0.004962083803285444,-0.01025558502010826,False,0.538358630069646,0.44509327312461144,-0.023912466166675972,-0.021716811225732324,False,0.5417578510313993,0.4508007206575244,-0.02731168712842924,-0.027424258758645292,False,qrc_m,-0.004962083803285444,False,False,1
sine_map_a0.820_s303:3403:800,1.1342288325470063e-12,0.005920544441670823,1.0138207461239817e-13,1.0138159470065973e-13,1.3888906902074873e-08,1.1083134506780508e-08,5.276695594183123e-07,4.695624978916081e-07,-5.137806525162373e-07,-4.584793633848276e-07,False,1.1490815115130923e-07,1.14849394677657e-07,-1.0101924424923436e-07,-1.0376626017087649e-07,False,0.0748986437932494,0.05875366004505544,-0.0748986299043425,-0.05875364896192093,False,qrc_e,-1.0101924424923436e-07,False,False,1
sine_map_a0.798_s304:3404:800,1.1329224544541567e-12,0.0059205444416708785,1.0126688101391863e-13,1.0126553105982916e-13,1.3878430915970653e-08,1.1082055440635773e-08,5.276974489094971e-07,4.6959544064008596e-07,-5.138190179935265e-07,-4.585133851994502e-07,False,1.1490929048106767e-07,1.1485059087427036e-07,-1.0103085956509702e-07,-1.0376853543363459e-07,False,0.07489864379324968,0.05875366004505382,-0.07489862991481876,-0.05875364896299838,False,qrc_e,-1.0103085956509702e-07,False,False,1
sine_map_a0.845_s305:3405:800,1.107139847489795e-11,0.005920540483878246,3.1717902493441217e-13,3.121132858439829e-13,2.7215059014316406e-07,2.453796679883274e-07,0.00013141068694860056,0.00011528902941055986,-0.0001311385363584574,-0.00011504364974257153,False,4.171494139604708e-06,3.1191333455022127e-06,-3.899343549461544e-06,-2.8737536775138855e-06,False,0.33285039690325563,0.28232849079192235,-0.3328501247526655,-0.2823282454122544,False,qrc_e,-3.899343549461544e-06,False,False,1
sine_map_a0.849_s308:3408:800,9.641542390454522e-12,0.005920554058287236,3.167000446968499e-13,3.0963417994120343e-13,3.0868488108254776e-07,2.724106494849122e-07,0.00010442589815954288,8.748353098541406e-05,-0.00010411721327846033,-8.721112033592914e-05,False,2.657599088380131e-06,1.9285752491896633e-06,-2.348914207297583e-06,-1.6561645997047512e-06,False,0.38280204578038796,0.3341072702346707,-0.38280173709550686,-0.3341069978240212,False,qrc_e,-2.348914207297583e-06,False,False,1
sine_map_a0.801_s309:3409:800,1.1323540259179263e-12,0.0059205444416709566,9.910931886952889e-14,9.910532802416492e-14,1.3865547988099337e-08,1.1073219822074954e-08,5.276727347387915e-07,4.6957310561846214e-07,-5.138071867506921e-07,-4.584998857963872e-07,False,1.1490317311511997e-07,1.148443714426152e-07,-1.0103762512702063e-07,-1.0377115162054024e-07,False,0.07489864379324755,0.05875366004505349,-0.07489862992769956,-0.05875364897183367,False,qrc_e,-1.0103762512702063e-07,False,False,1
