dataset_id,nrmse_linear,nrmse_gbm,nrmse_nvar,nmae_nvar,nrmse_esn_v5,nmae_esn_v5,nrmse_qrc_m,nmae_qrc_m,advantage_qrc_m_vs_esn,nmae_advantage_qrc_m_vs_esn,qrc_m_useful,nrmse_qrc_e,nmae_qrc_e,advantage_qrc_e_vs_esn,nmae_advantage_qrc_e_vs_esn,qrc_e_useful,nrmse_qrc_d,nmae_qrc_d,advantage_qrc_d_vs_esn,nmae_advantage_qrc_d_vs_esn,qrc_d_useful,best_qrc_variant,best_qrc_advantage_vs_esn,qrc_any_win,qrc_any_useful,label_seed_count
mackey_glass_tau28_s037:1137:800,0.5148926266172381,0.22392413841379094,0.22377962122974146,0.17932296336713824,0.09697768605874972,0.07775556375569265,1.3843062146305294,1.246553381953489,-1.2873285285717797,-1.1687978181977965,False,0.752539092768236,0.6076052301727418,-0.6555614067094864,-0.5298496664170491,False,0.8879878167901486,0.771136584092978,-0.7910101307313989,-0.6933810203372854,False,qrc_e,-0.6555614067094864,False,False,1
mackey_glass_tau28_s044:1144:800,0.5701168269056566,0.23925530745793708,0.17964448431294966,0.14984181450957199,0.06980403145752868,0.0580729881774887,0.5024531763351607,0.396154111926344,-0.43264914487763206,-0.3380811237488553,False,0.8109736505538265,0.6763885259566156,-0.7411696190962979,-0.6183155377791268,False,0.920245930962664,0.7496925762193196,-0.8504418995051354,-0.6916195880418309,False,qrc_m,-0.43264914487763206,False,False,1
mackey_glass_tau38_s046:1146:800,0.6833313211062993,0.45987639224060706,0.3192766854470397,0.23584049218416656,0.11197706318094339,0.09512419885363783,0.5416928158797916,0.45565978055759415,-0.4297157526988482,-0.36053558170395633,False,0.6714599694870298,0.5337626767423033,-0.5594829063060864,-0.43863847788866545,False,0.9135546035158907,0.7837012306238224,-0.8015775403349473,-0.6885770317701845,False,qrc_m,-0.4297157526988482,False,False,1
mackey_glass_tau31_s118:1218:800,0.6640448187545545,0.3103801932755552,0.11929741865713767,0.09093086970960282,0.0524291575876552,0.04427676150878589,0.5621895410149652,0.45210369302006875,-0.50976038342731,-0.40782693151128285,False,0.884031374827952,0.6951812422756579,-0.8316022172402968,-0.650904480766872,False,0.9150464337892107,0.7667659405347338,-0.8626172762015555,-0.7224891790259479,False,qrc_m,-0.50976038342731,False,False,1
mackey_glass_tau39_s122:1222:800,0.7190400939456899,0.7081521679568423,0.3544064026447912,0.2748252735489821,0.22462236796535315,0.17907022799070724,0.8666705987248519,0.7656303238256531,-0.6420482307594987,-0.5865600958349458,False,0.8002891700432676,0.6822886866360623,-0.5756668020779144,-0.5032184586453551,False,0.9663701069645413,0.8037589002725092,-0.7417477389991881,-0.6246886722818019,False,qrc_e,-0.5756668020779144,False,False,1
mackey_glass_tau42_s139:1239:800,0.3451432213364548,0.8479418191289039,0.39297182241095713,0.338891415734013,1.0349390508679674,0.6420438240787985,2.0,2.0,-0.9650609491320326,-1.3579561759212015,False,0.8960139285518425,0.8017807208259589,0.13892512231612497,-0.1597368967471604,True,0.9973687491327822,0.8301352663689617,0.037570301735185274,-0.18809144229016328,False,qrc_e,0.13892512231612497,True,True,1
mackey_glass_tau30_s147:1247:800,0.5843864695618443,0.2157120797851762,0.20315525882065424,0.15925237301780276,0.12254141827260544,0.08932848371358687,0.9070214113460118,0.7082836703909982,-0.7844799930734063,-0.6189551866774112,False,0.8076885168630593,0.6985367898059581,-0.6851470985904539,-0.6092083060923712,False,0.9566405801668068,0.8649871285300286,-0.8340991618942013,-0.7756586448164418,False,qrc_e,-0.6851470985904539,False,False,1
mackey_glass_tau40_s149:1249:800,0.7834718553601593,1.0059868363041151,0.7659048858721133,0.634332346220243,0.4736008797192406,0.39423019288971545,0.9393536160059947,0.7863912866175379,-0.46575273628675407,-0.39216109372782243,False,1.1930109088453262,0.9773447519802689,-0.7194100291260856,-0.5831145590905535,False,1.2123867711924243,1.0077762299931239,-0.7387858914731837,-0.6135460371034085,False,qrc_m,-0.46575273628675407,False,False,1
mackey_glass_tau27_s161:1261:800,0.6151676098635295,0.2353334546712869,0.1706420451109789,0.1365666044867637,0.08076113432054802,0.06453113751750653,0.8664311602977953,0.6998929138118474,-0.7856700259772473,-0.6353617762943409,False,0.910915118157567,0.7544565040391893,-0.830153983837019,-0.6899253665216828,False,0.8874191057956559,0.7507847222837447,-0.8066579714751079,-0.6862535847662382,False,qrc_m,-0.7856700259772473,False,False,1
mackey_glass_tau43_s187:1287:800,0.9026752844141701,0.7011809148395982,0.7017429971191116,0.6010143550440349,0.32487899312531165,0.26473842660052116,0.9029235376004411,0.8085602521202886,-0.5780445444751294,-0.5438218255197674,False,0.905258504155853,0.8121200769512162,-0.5803795110305413,-0.5473816503506951,False,0.956936491757445,0.8437100691819247,-0.6320574986321333,-0.5789716425814035,False,qrc_m,-0.5780445444751294,False,False,1
mackey_glass_tau36_s191:1291:800,0.6564196869549942,0.7814808105229172,0.37303505873247167,0.31215636756087967,0.3744964514993308,0.27835249569106596,0.8966369534325024,0.7076223833110155,-0.5221405019331715,-0.4292698876199495,False,1.0264914567956545,0.8823473379301442,-0.6519950052963237,-0.6039948422390782,False,1.043874645833824,0.8520100984549634,-0.6693781943344932,-0.5736576027638975,False,qrc_m,-0.5221405019331715,False,False,1
mackey_glass_tau35_s193:1293:800,0.6792376749715937,0.49218573956246126,0.2735999648898497,0.22257413896006192,0.1486837356661689,0.11525392780471179,0.5226580466774752,0.4209608136436563,-0.3739743110113063,-0.3057068858389445,False,0.7404150445486459,0.6046878452774549,-0.591731308882477,-0.4894339174727431,False,1.0265515289550329,0.8944040862986425,-0.877867793288864,-0.7791501584939308,False,qrc_m,-0.3739743110113063,False,False,1
mackey_glass_tau41_s198:1298:800,0.7940540857153896,1.0120418732648349,1.0125117815947189,0.8403236500373851,0.8123091575782959,0.5942507660338547,1.182933622562266,0.9677590260121647,-0.37062446498397006,-0.37350825997830994,False,1.0216739961159846,0.8548628078331317,-0.20936483853768872,-0.260612041799277,False,1.0958710382371135,0.9034747359809449,-0.2835618806588176,-0.3092239699470901,False,qrc_e,-0.20936483853768872,False,False,1
