dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive,base_generator,frontier_score,candidate_pool_split,evaluation_split,selection_role,selection_order,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
lorenz63_rho30.42_s001:1201:800,lorenz63_rho30.42_s001,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 30.41810627903052, 'dt': 0.02}",1201,v2,1,800,1,0.0,False,3.806478941571966e-17,1.0,-0.8630036486680263,0.5245000226257948,13.0,9.0,,False,0.9999749329024246,-0.0069947188804501,23.911076507345644,True,,False,0.955901227625012,True,0.4778798318209885,0.0035714285714285,1.2153294914430352e-08,0.001,0.8686202733367882,0,1.330742700008601,True,0.3523588661097235,0.3308624353314469,0.8294860156781916,0.5221201681790115,0.0050067052614897,0.0837841630502179,-0.0787774577887281,,,,,1.0,0.3606896236578415,0.4091170308330007,0.8438374166052884,0.8473112989564235,-10.877380378386617,0.0149076060363547,0.0121469146390282,0.029296875,0.0287859824780976,0.0451127819548872,0.0,0.0,794.9666880328733,0.9276127532378736,0.0057795421292297,0.9703980467243168,1.0,0.0997200351392845,0.8374773588012514,0.0587392550143266,1.3707554402495237,0.18791109688929,0.0,0.3395161794259608,lorenz63,0.6152500000000001,discovery,discovery,broad_balanced,0.0,0.6005730848684914,0.3356601816163606,0.3280226435100437,0.2907005310647186,0.007637538106316899
rossler_c8.79_s000:1300:800,rossler_c8.79_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.785877082140939, 'dt': 0.05}",1300,v2,1,800,1,0.0,False,2.5376526277146434e-17,1.0,0.396987668151404,0.6712148015410766,21.0,13.0,,False,0.9999990287729342,-0.0097442925160849,8.810747574090449,True,0.1707913132975825,True,0.055010893062835,True,0.3708149832402985,0.0089285714285714,1.4069815492234649e-08,0.001,0.95,0,1.70178590719317,True,0.282194399013018,0.1037523473137816,1.0094965561988178,0.6291850167597015,0.0009855085315587,0.0987181024085796,-0.0977325938770208,,,,,1.0,0.1579750351102854,0.2457927916629274,0.7473988547075412,0.9552189773159192,-10.18692993832784,0.009828000559964,0.0053339443988378,0.01171875,0.016270337922403,0.0175438596491228,0.0,0.0075093867334167,794.9971359078969,0.9851330489350488,0.0143927249221051,0.9854583427722252,4.0,0.0997200351392845,0.8995554091882101,0.0114613180515759,1.1369624913557774,0.2217945671498327,0.0,0.9458302771556448,rossler,0.7342500000000001,discovery,discovery,broad_balanced,1.0,0.2803921607959223,0.11512578949743073,0.6738546185606638,0.4470508677446324,-0.5587288290632331
narma02_s000:1600:800,narma02_s000,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 2}",1600,v2,1,800,1,0.0,False,-1.027749314224431e-15,1.0,1.033911518072528,0.4660826463635263,1.0,4.0,12.004136087638814,True,0.8177046860097749,0.1031123381509441,6.931839026761059,True,0.1351557158012644,True,0.9986863210737866,True,0.9171613477419872,0.3553571428571428,0.5010895210803036,0.001,0.8536516699818618,0,0.4789066533238231,True,0.9933610952610636,2.1343572992759507,0.5885754601859369,0.0828386522580126,0.4269605532016104,0.2813946976033504,0.1455658555982599,,2.0,,,,2.2125652425137012,1.6782433592174335,1.7600037546338874,0.6162031007761827,0.0460161519282391,0.2631248978577437,0.1444888250457168,0.435546875,0.5106382978723404,0.6553884711779449,0.0,0.0,2.764156375399503,0.1420535908578429,0.0001892327207694,0.1157511658508016,7.0,0.0997200351392845,0.5140787090400132,0.6532951289398281,2.4347078785809044,-0.000932706093324,0.0,0.352743059461608,narma,0.50275,discovery,discovery,feature_space_coverage,3.0,0.35335246990114466,0.08566048486932573,0.552394335481005,0.21277590817703107,-0.46673385061167927
nonlinear_ipc_d4_l21_s001:1801:800,nonlinear_ipc_d4_l21_s001,input_driven,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 4, 'lags': [1, 10, 21]}",1801,v2,1,800,1,0.0,False,-9.595498998545995e-17,1.0,1.1622451397060407,1.4903959114178642,1.0,2.0,0.0,True,-0.103512570207445,0.8866351857625488,0.7632716360826239,True,0.1562308476815767,True,0.9965788307525172,True,0.9288714619827718,0.3071428571428571,0.5637081713142382,0.001,0.7042424836466105,0,0.5015208621606452,True,0.9925454876459522,2.2047840085830357,0.5128826198881988,0.0711285380172281,1.0504820656286544,0.4657009603220678,0.5847811053065866,,21.0,,,,2.1419184836352225,1.612709712204702,1.747948934396669,0.5989850131119608,-0.0553350780812612,0.2504313507441543,0.1472772229168168,0.435546875,0.4780976220275344,0.6854636591478697,0.0,0.0,0.6604691603205737,0.1256280428516009,0.0008877038489404,0.0976777374993426,6.0,0.0997200351392845,0.522970525275811,0.6848137535816619,2.4239251675876368,0.0002445757003379,0.0,0.3425536784741349,nonlinear_ipc,0.5362500000000001,discovery,discovery,feature_space_coverage,4.0,1.0193467335711628,0.7945970938186869,1.0209720231064743,0.5285385067354149,-0.22637492928778735
mso2_s000:1900:800,mso2_s000,oscillatory,synthetic,forecast,"{'generator': 'mso', 'n_freqs': 2}",1900,v2,1,800,1,0.0,False,-4.123685520036296e-17,1.0,0.0122248196109334,-0.7402938093816549,5.0,7.0,,False,0.9999999999990608,-0.039516266982712,11.23824488541058,True,0.2993620340426765,True,0.9439548957560108,True,0.2768675831973244,0.0464285714285714,1.220323314805731e-10,0.001,0.95,0,0.7117003716021919,True,0.4564737647396432,0.5069940452798256,0.4679221078686916,0.7231324168026756,9.691174151281914e-07,0.1987869889697291,-0.1987860198523139,,,2.0,,,0.5793633761900788,0.5728453851377542,1.1210982820613118,0.3748633817463016,-7.891292200761063,0.0389996227626928,0.0080798396109272,0.046875,0.0901126408010012,0.093984962406015,0.0,0.0,794.9912808860146,0.8979511815027553,0.0002097324903703,0.9147267704396016,0.0,0.0997200351392845,0.7655195125967397,0.0401146131805157,1.7241408675178604,0.1149734867182433,0.0025,0.5045893867663716,mso,0.6527499999999999,discovery,discovery,frontier_enriched,2.0,3.083616436284671e-11,0.0008907515812630173,0.1659056346550915,0.47757251795156774,-0.1650148830738285
