family,n,mean_delta_J0_minus_J1,delta_ci_low,delta_ci_high,median_delta_J0_minus_J1,frac_J1_better,mean_advantage_J1_vs_esn,mean_advantage_J0_vs_esn,mechanism_signal
overall,360,0.01265584461053136,-0.012824450716275766,0.03891642076743883,-1.6505963604193656e-05,0.4583333333333333,-0.037697593207503245,-0.05035343781803459,null_or_mixed
chaotic_flow,160,0.0786886562537014,0.031605600829531275,0.125380166324053,0.06610876801468568,0.6,-0.13620881263082502,-0.21489746888452643,positive
chaotic_map,200,-0.040170404704004695,-0.06543006764792811,-0.01307622219792744,-0.011559827314166417,0.345,0.04111138233115418,0.08128178703515886,negative
