family,n,mean_qrc_advantage,median_qrc_advantage,mean_predicted_qrc_advantage,qrc_useful_rate,near_tie_rate,baseline_preferred_rate,label_accuracy,mean_prob_qrc_useful,dominant_category
nonstationary,140,-0.19756178112296097,-0.08313232969758311,-0.2029166634225453,0.10714285714285714,0.32857142857142857,0.5642857142857143,0.6857142857142857,0.1022060772574257,baseline_preferred
colored_noise,20,-0.022536120254244243,-0.0287915829704289,-0.05139068859489918,0.1,0.55,0.35,0.4,0.08268906446823379,near_tie
nonlinear_stochastic,120,-0.016063945603923494,-0.017436415017569852,-0.0320200927007164,0.05,0.8416666666666667,0.10833333333333334,0.75,0.04422479134737812,near_tie
long_range,40,-0.02308992287928801,-0.021634083308406098,-0.025474974886103237,0.05,0.7,0.25,0.7,0.052175598329270136,near_tie
chaotic_flow,200,-0.5635868591559094,-0.6037987649580531,-0.5636732759077993,0.05,0.05,0.9,0.91,0.04912917269135631,baseline_preferred
chaotic_map,200,-0.5980280752140026,-0.7053406451785507,-0.5953514995971869,0.005,0.035,0.96,0.96,0.006932749694749709,baseline_preferred
linear_stochastic,60,-0.14083288001016378,-0.05207366819887535,-0.14854719010289988,0.0,0.48333333333333334,0.5166666666666667,0.7333333333333333,0.0105844011395095,baseline_preferred
input_driven,100,-0.3460357824600417,-0.27233719321698324,-0.344345053322521,0.0,0.11,0.89,0.89,0.0040377249100196615,baseline_preferred
oscillatory,120,-0.8535363556412848,-0.8958411181213639,-0.8275974511457046,0.0,0.025,0.975,0.9666666666666667,0.003624370969977894,baseline_preferred
