dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
lorenz63_rho30.09_s000:1200:800,lorenz63_rho30.09_s000,chaotic_flow,synthetic,forecast,1200,800,15,0.1416059555354429,0.9412247453917112,-0.7996187898562682,baseline_preferred,-0.7098103805006216,baseline_preferred,0.013886370734621173,-2.6658299699707895,-1.2026681203463239,0.0898084093556466,True
lorenz63_rho43.24_s001:1201:800,lorenz63_rho43.24_s001,chaotic_flow,synthetic,forecast,1201,800,14,0.4879863586461851,1.093607990443614,-0.6056216317974288,baseline_preferred,-0.5475377237785375,baseline_preferred,0.04235021816412311,-2.7987426873664005,-1.4254215322017219,0.058083908018891295,True
lorenz63_rho23.42_s002:1202:800,lorenz63_rho23.42_s002,chaotic_flow,synthetic,forecast,1202,800,7,0.0001487200693246,0.845296138967469,-0.8451474188981444,baseline_preferred,-0.917273365810112,baseline_preferred,0.001206200293471879,-1.4304937837421137,0.03684936994340985,0.07212594691196761,True
lorenz63_rho44.69_s003:1203:800,lorenz63_rho44.69_s003,chaotic_flow,synthetic,forecast,1203,800,16,0.3062825360201811,1.087001561738145,-0.7807190257179639,baseline_preferred,-0.6191136194429371,baseline_preferred,0.012919833542120967,-2.06831998758542,-0.6333160465773684,0.16160540627502684,True
lorenz63_rho30.88_s004:1204:800,lorenz63_rho30.88_s004,chaotic_flow,synthetic,forecast,1204,800,16,0.4313364699070076,0.9898933935891806,-0.558556923682173,baseline_preferred,-0.5350713872433878,baseline_preferred,0.010692674918959788,-2.325393434205989,-0.5745926045924509,0.02348553643878526,True
lorenz63_rho35.53_s005:1205:800,lorenz63_rho35.53_s005,chaotic_flow,synthetic,forecast,1205,800,13,0.133429938663744,0.987852728491959,-0.854422789828215,baseline_preferred,-0.7199774220552543,baseline_preferred,0.010692674918959788,-2.1747698478714352,-0.9578432007452071,0.13444536777296068,True
lorenz63_rho40.97_s006:1206:800,lorenz63_rho40.97_s006,chaotic_flow,synthetic,forecast,1206,800,12,0.4153552291367126,1.4076722964068178,-0.9923170672701052,baseline_preferred,-0.6400311538635794,baseline_preferred,0.016857449038249005,-2.4180933146579666,-1.22713607262142,0.3522859134065257,True
lorenz63_rho27.93_s007:1207:800,lorenz63_rho27.93_s007,chaotic_flow,synthetic,forecast,1207,800,13,0.0777433094395244,0.9778616388129676,-0.9001183293734434,baseline_preferred,-0.5630800498824174,baseline_preferred,0.005656144180352117,-1.6220951879159544,-0.47969368380542193,0.33703827949102594,True
lorenz63_rho28.87_s008:1208:800,lorenz63_rho28.87_s008,chaotic_flow,synthetic,forecast,1208,800,12,0.1748174761614824,0.9113974849379712,-0.7365800087764888,baseline_preferred,-0.6403488051031734,baseline_preferred,0.0037141510168495397,-1.90111924371626,-0.6941567266095678,0.09623120367331539,True
lorenz63_rho24.81_s009:1209:800,lorenz63_rho24.81_s009,chaotic_flow,synthetic,forecast,1209,800,14,0.1012784193334359,1.2341977920124532,-1.1329193726790172,baseline_preferred,-0.808039863756941,baseline_preferred,0.008831245305755684,-2.5860106485721244,-1.1120993324845132,0.3248795089220762,True
