J,h,dt,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
0.8,1.0,0.2,0.0,0.0,60,0.8599655517790977,0.9524763657480052,0.8340728051911621,0.9501978225337224
0.8,1.0,0.2,0.0,0.01,60,1.0459180606313891,0.9796977705488089,0.9865891132861196,1.0053857582206642
0.8,1.0,0.2,0.02,0.0,60,1.0168991877797626,0.9884033979616808,0.9817643544835791,0.972641008055317
0.8,1.0,0.2,0.02,0.01,60,1.061070273961428,1.0142790843050573,1.0022187447748583,0.9932022301431274
0.8,1.0,0.25,0.0,0.0,60,0.8643009946609709,0.9532464418953221,0.8443594772317544,0.9723491182154491
0.8,1.0,0.25,0.0,0.01,60,1.045449401637708,1.0268098287004492,0.9595866621157241,0.9777255409229406
0.8,1.0,0.25,0.02,0.0,60,1.0256705405449278,0.9691953149750646,0.9929219695892352,1.0168053416644922
0.8,1.0,0.25,0.02,0.01,60,1.063923769593763,1.0097869665691033,0.9846631635558679,0.9847952453045687
1.0,1.0,0.2,0.0,0.0,60,0.8045535802963809,0.9418812682903922,0.7744837323402277,0.8711686334921083
1.0,1.0,0.2,0.0,0.01,60,1.0325495993128448,0.9860993717500022,1.0072671788615335,1.007715274235156
1.0,1.0,0.2,0.02,0.0,60,1.0373795574214153,0.9795428247326247,0.985160970057653,1.020633497658892
1.0,1.0,0.2,0.02,0.01,60,1.0985973069657704,1.008790743585082,0.9894662839472534,0.9947716648321732
1.0,1.0,0.25,0.0,0.0,60,0.872516814251996,0.9437033370319883,0.8406259522956447,0.9600972176219696
1.0,1.0,0.25,0.0,0.01,60,1.0007938461557648,0.9879428162648237,0.9668305501106141,0.9722364116977956
1.0,1.0,0.25,0.02,0.0,60,1.0322962682850596,0.9830869198144785,0.9768211971897143,0.9645902270189826
1.0,1.0,0.25,0.02,0.01,60,1.0592746643517355,0.9855157480066778,1.0011750798645793,1.001635206853017
1.2,1.0,0.2,0.0,0.0,60,0.8246566283105419,0.9467491347532218,0.8012891889624641,0.9154535694316295
1.2,1.0,0.2,0.0,0.01,60,0.9673730522222667,0.9541327900521738,0.9515401254640796,0.9756796844303326
1.2,1.0,0.2,0.02,0.0,60,1.0160018018712706,0.9855654857177436,0.9702614041612748,0.973670069887232
1.2,1.0,0.2,0.02,0.01,60,1.0503771254387158,0.99687776971319,0.981701746278929,0.9854449271637252
1.2,1.0,0.25,0.0,0.0,60,0.8035350815212942,0.9927612821853845,0.7881001813037052,0.9011458419391908
1.2,1.0,0.25,0.0,0.01,60,0.9816421277230547,0.971438387821267,0.9400671259422523,0.9940204687128409
1.2,1.0,0.25,0.02,0.0,60,1.0244202823714508,0.9982266775354668,0.9829043820371542,0.9819674008986644
1.2,1.0,0.25,0.02,0.01,60,1.0201342593708123,0.9886565574926883,0.9826696922291122,0.994528325303426
