feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
without_predictability_proxies,spectral_entropy,0.6381485489852514,0.1555134440175667,0.3418472131184096,positive,0.44125526763263917,0.44125526763263917,
without_predictability_proxies,nl_gain,0.20402893467111216,0.037070300633813405,0.24584788171533517,positive,0.06529862436591141,0.06529862436591141,
without_predictability_proxies,ac_timescale,0.1844474781408222,0.07133479835328471,0.1163342429692713,positive,0.13748394032986802,0.13748394032986802,
without_predictability_proxies,mem_capacity,0.1656399104307309,0.04133376029202166,-0.09472322499524764,negative,-0.024899642722245284,0.024899642722245284,
without_predictability_proxies,snr_db,0.11240277446841687,0.04235203040437769,0.020634027071497828,positive,0.072630741318493,0.072630741318493,
without_predictability_proxies,kpss_p,0.044302970817772,0.026770668087102614,-0.14555346757643955,negative,-0.015558752797184076,0.015558752797184076,
without_predictability_proxies,dom_freq,0.03528018449873423,0.012464073044936392,0.21809609563935056,positive,0.033783971448373924,0.033783971448373924,
without_predictability_proxies,dfa_alpha,0.029830932147052104,0.010660441130077596,0.003879279099968092,positive,0.10365445796554767,0.10365445796554767,
without_predictability_proxies,zero_one_K,0.02509010984362342,0.016545042212207692,0.20500536091688748,positive,0.022094070096556038,0.022094070096556038,
without_predictability_proxies,spectral_flatness,0.02472763751108672,0.013194625123899474,0.2442457066381231,positive,-0.17262664790419285,0.17262664790419285,
without_predictability_proxies,perm_entropy,0.016071305652824015,0.018082203941128215,0.12672200578187423,positive,-0.02294268944350306,0.02294268944350306,
without_predictability_proxies,lyapunov,0.011964845328113833,0.006610925623111443,0.13303396812844367,positive,0.03750364391454811,0.03750364391454811,
without_predictability_proxies,ami_first_min,0.008457292833483319,0.00777487712927116,0.13579300177210873,positive,0.057621437443800175,0.057621437443800175,
without_predictability_proxies,n_diffs,-0.00048197272398945004,0.0012699920758452224,0.11219480266721668,positive,-0.017368628365731078,0.017368628365731078,
without_predictability_proxies,adf_p,-0.0014008497248309242,0.01077609021533867,0.10944864382649593,positive,0.08871986013848299,0.08871986013848299,
