feature_set,feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
without_r2_linear,spectral_entropy,0.49532377809893413,0.11899104211536417,0.3418472131184096,positive,0.438982624487617,0.438982624487617,
without_r2_linear,nl_gain,0.29703968886108123,0.03943880494693409,0.24584788171533517,positive,0.06429594419410303,0.06429594419410303,
without_r2_linear,pred_nrmse_gbm,0.25389313932214436,0.041714124386901155,-0.04924203734164789,negative,-0.023176192973255755,0.023176192973255755,
without_r2_linear,ac_timescale,0.1744810740686775,0.057922711771295536,0.1163342429692713,positive,0.13854333885115977,0.13854333885115977,
without_r2_linear,snr_db,0.13308024850328554,0.04843019255534445,0.020634027071497828,positive,0.07290771478711343,0.07290771478711343,
without_r2_linear,dfa_alpha,0.03387030926576503,0.0174787336526544,0.003879279099968092,positive,0.10206690488540691,0.10206690488540691,
without_r2_linear,dom_freq,0.031543968097571595,0.01131541151971402,0.21809609563935056,positive,0.03061807578404464,0.03061807578404464,
without_r2_linear,kpss_p,0.030995410849066013,0.019589475650701207,-0.14555346757643955,negative,-0.015066929631354371,0.015066929631354371,
without_r2_linear,mem_capacity,0.029789069346392492,0.011281845257436848,-0.09472322499524764,negative,-0.024992516415684438,0.024992516415684438,
without_r2_linear,zero_one_K,0.027546259119517368,0.02055345742901565,0.20500536091688748,positive,0.023995680474961964,0.023995680474961964,
without_r2_linear,spectral_flatness,0.021541771564944804,0.018067476680931352,0.2442457066381231,positive,-0.16610294952175111,0.16610294952175111,
without_r2_linear,perm_entropy,0.0184278659567656,0.013176623729328719,0.12672200578187423,positive,-0.025501435525918735,0.025501435525918735,
without_r2_linear,ami_first_min,0.013696734768236338,0.006563185137244442,0.13579300177210873,positive,0.058153642988776566,0.058153642988776566,
without_r2_linear,lyapunov,0.013672829179422688,0.00519182671606876,0.13303396812844367,positive,0.03764756645169272,0.03764756645169272,
without_r2_linear,n_diffs,2.3864443685551756e-05,0.0005457195984032581,0.11219480266721668,positive,-0.017052090121478125,0.017052090121478125,
without_r2_linear,adf_p,-0.005021464995496697,0.00853948462808259,0.10944864382649593,positive,0.08898345854240781,0.08898345854240781,
