feature_set,description,n_samples,n_candidate_features,n_features_used,features_used,regression_r2_mean,regression_mae_mean,classification_roc_auc_mean,top_features,notes
all,All schema-v1 core axis fields.,1000,18,17,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,pred_nrmse_gbm",0.6651450049257429,0.14093464426744456,0.8563959004448535,"r2_linear,ac_timescale,spectral_entropy,snr_db",SHAP not available; skipped SHAP importances
without_r2_linear,All core axis fields except the direct linear predictability score.,1000,17,16,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,pred_nrmse_gbm",0.6718277248742722,0.14220666736336085,0.8554840706013191,"spectral_entropy,nl_gain,pred_nrmse_gbm,ac_timescale",SHAP not available; skipped SHAP importances
without_predictability_proxies,"Core axis fields excluding r2_linear, forecastability, and pred_nrmse_gbm.",1000,15,15,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy",0.6598526333332979,0.14788408754327456,0.85584379314312,"spectral_entropy,nl_gain,ac_timescale,mem_capacity",SHAP not available; skipped SHAP importances
chaos_nonlinearity_complexity_only,"Restricted to chaos, nonlinearity, spectral complexity, and entropy features.",1000,7,7,"nl_gain,lyapunov,zero_one_K,spectral_entropy,spectral_flatness,dfa_alpha,perm_entropy",0.527131195363055,0.19086492107198766,0.8365022698074858,"nl_gain,spectral_entropy,dfa_alpha,spectral_flatness",SHAP not available; skipped SHAP importances
