dataset_id,name,family,source,task_type,params,seed,length,horizon,base_generator,ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mackey_glass_tau34_s000:1100:800,mackey_glass_tau34_s000,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 34}",1100,800,15,mackey_glass,15.0,13.0,,0.9999711386568448,-0.014063915075666,15.294116258350035,0.3003999098152766,0.8144474386712769,0.3942449709026234,0.0071428571428571,5.480849610303476e-07,0.001,0.95,0,1.5274160653060938,0.4062889796770643,0.3247192031081789,0.9541909838137644,0.6057550290973766,0.1187130002098389,0.2111864309792869,0.9396509898695188,794.9690092820421,0.0997200351392845,0.8432405730281575,-8.084532847799993,0.0134550615874917,0.0004053682753366,0.0,0.9041115177913804,0.7202822629974924,0.4484220205301384,0.6692378009944764,0.5090958320182055,-0.2208157804643379
mackey_glass_tau42_s001:1101:800,mackey_glass_tau42_s001,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 42}",1101,800,17,mackey_glass,17.0,14.0,,0.9999701287842104,-0.0093006517463937,16.053174606133446,0.3892626010042298,0.3051406100744182,0.3627114583289817,0.0071428571428571,2.839351202708344e-07,0.001,0.9406798910240448,0,1.5749183219475993,0.3969019337925955,0.3062841577455086,0.9913128010468876,0.6372885416710183,0.0965946321602971,-0.16156207828227154,0.9392509209204524,794.9748853746369,0.0997200351392845,0.8513090729458258,-8.27972619941025,0.0112271647390878,0.0068761562559785,0.0,0.83178259636807,0.928938317487652,1.0797190267078107,1.1189714531988113,1.0905003957699235,-0.0392524264910005
mackey_glass_tau28_s002:1102:800,mackey_glass_tau28_s002,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 28}",1102,800,14,mackey_glass,14.0,15.0,,0.999935868132155,-0.0045607114885579,9.909066373371475,0.3284038366160058,0.7026067339884126,0.3246465359208516,0.0107142857142857,4.913693207748122e-07,0.001,0.95,0,1.4936242870570775,0.3767023603831188,0.3534698129897839,0.93696022020563,0.6753534640791484,0.0680062008672957,0.6563412289683923,0.9300308045211332,794.9717116368546,0.0997200351392845,0.8239749711839288,-8.129146762642785,0.0154249084405941,0.0076873190225666,0.0,0.9161663380285988,0.9689415785066252,0.3348028955362906,0.6651495725334717,0.3126003495382329,-0.330346676997181
mackey_glass_tau29_s003:1103:800,mackey_glass_tau29_s003,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 29}",1103,800,12,mackey_glass,12.0,10.0,,0.9999654501661994,-0.0080841041535056,15.588100651471867,0.4179547174703378,0.7430728187927903,0.3897783187292644,0.0124999999999999,4.000921534211732e-07,0.001,0.9443527164032832,0,1.400587688922916,0.4222377331312733,0.4271808508200646,0.9036276123717624,0.6102216812707355,0.0901035736655672,0.08528790892078131,0.9202445539806684,794.9578247246365,0.0997200351392845,0.8099785937757287,-8.50972158954351,0.0165866600336379,0.0108382288507079,0.0,0.9161663380285988,0.612108704619008,0.4469384422280919,0.8776630556648334,0.5268207956982267,-0.4307246134367414
mackey_glass_tau33_s004:1104:800,mackey_glass_tau33_s004,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 33}",1104,800,16,mackey_glass,16.0,15.0,,0.9999644179782738,-0.0086953435123487,17.52735069182592,0.368016846371863,0.5952003733098681,0.4253454603620461,0.0107142857142857,2.099889137831382e-07,0.001,0.95,0,1.5503695076350956,0.4297863996022603,0.3242871788199234,0.9716567803324648,0.5746545396379539,0.093439421734485,0.32020437402876023,0.9385778585561558,794.9685724831745,0.0997200351392845,0.8470278280915527,-8.737216666524978,0.0134666548115136,0.0005555726821618,1.0,0.8800018773169437,0.7344219289803868,0.4128964198077183,0.5403929948523079,0.4142175549516266,-0.1274965750445895
mackey_glass_tau38_s005:1105:800,mackey_glass_tau38_s005,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 38}",1105,800,15,mackey_glass,15.0,16.0,,0.9999487589131568,-0.0143563191521225,14.683931760344755,0.3794048927835418,0.4441478227892855,0.3845396765921232,0.0089285714285714,3.1500425478833825e-07,0.001,0.95,0,1.5005516538085395,0.4032554819729734,0.3313759204121827,0.9737140063822808,0.6154603234078768,0.1200314968621392,-0.08537898356555773,0.9298184348848604,794.9681357303265,0.0997200351392845,0.8420879301827762,-8.664523867031686,0.0142773350822123,0.0013779629674787,1.0,0.9402759785030356,0.6240939119523218,0.4641805468290697,0.6579210253828217,0.7094728955178795,-0.193740478553752
mackey_glass_tau17_s006:1106:800,mackey_glass_tau17_s006,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 17}",1106,800,9,mackey_glass,9.0,12.0,,0.9999546886100767,-0.0164697086060898,14.64609773331504,0.3770002752923004,0.4769056976469821,0.3607181249118357,0.0196428571428571,4.073916209655917e-07,0.001,0.95,0,1.1947646844291977,0.4311382907434186,0.4170727428246328,0.7456327684341262,0.6392818750881643,0.1285107777426203,0.23098041359340601,0.9200399733340076,794.924784063766,0.0997200351392845,0.8134365223118722,-8.380643038410804,0.0215205775341884,0.0001860246250039,0.0,0.9402759785030356,0.4191266132337144,0.0261875246254009,0.1917461109574427,0.1881461996403084,-0.1655585863320417
mackey_glass_tau19_s007:1107:800,mackey_glass_tau19_s007,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 19}",1107,800,10,mackey_glass,10.0,10.0,,0.9999640920605564,-0.005558796398684,25.214188376269124,0.223367267395225,0.6560837102455035,0.3950254807207778,0.0178571428571428,4.277250732887645e-07,0.001,0.95,0,1.28921988062193,0.4123703529978243,0.4112622257924902,0.7779807781720048,0.6049745192792222,0.0747977562372544,0.26553845315070534,0.9222739137849428,794.9460638843275,0.0997200351392845,0.8164004610571381,-8.384585076563921,0.0194629865420418,4.9135596580041074e-05,0.0,0.9282211582658174,0.4246017489483407,0.0260885905883877,0.1902988481921071,0.1590632957976353,-0.1642102576037193
mackey_glass_tau20_s008:1108:800,mackey_glass_tau20_s008,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 20}",1108,800,10,mackey_glass,10.0,13.0,,0.9999459276428384,-0.0105945489463075,15.117597582328449,0.3666714296289333,0.824213170502001,0.4331972322407637,0.0178571428571428,5.145877858125616e-07,0.001,0.95,0,1.2914685511949326,0.4197856881683451,0.4301334388987466,0.8014333959715962,0.5668027677592362,0.1031921571800356,0.20721043032268327,0.9211286983015028,794.9491482915714,0.0997200351392845,0.8124485427301169,-8.415819523130764,0.0189925261553504,8.275776482491448e-05,0.0,0.9643856189774724,0.4209583537815453,0.0734896317402859,0.285683057038545,0.213747923458862,-0.212193425298259
mackey_glass_tau31_s009:1109:800,mackey_glass_tau31_s009,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 31}",1109,800,14,mackey_glass,14.0,13.0,,0.9999675101327048,-0.0059019396262629,18.066409326104317,0.3032568332990631,0.1585431183556094,0.3273577841888179,0.0089285714285714,4.225436910228526e-07,0.001,0.95,0,1.514177969142991,0.3743709887008775,0.2967714427620005,0.9570049902665532,0.672642215811182,0.0770352483838287,0.17855942315724582,0.9399177764299428,794.9716033217595,0.0997200351392845,0.8435698995554092,-7.866570170527513,0.0136082887558536,0.0052478348314914,0.0,0.8679470570797253,0.8100706242236754,0.5428844902739792,0.865590609595364,0.6315112010664296,-0.3227061193213848
