feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
predictability_gap_linear_gbm,0.11738864092278292,0.03920175084863867,-0.001333094215500358,negative,0.02308159820553264,0.02308159820553264,
lyapunov,0.10449519271787193,0.05811698150827331,-0.24922872228416015,negative,-0.042796815526108666,0.042796815526108666,
ext_psd_slope,0.05794339894666435,0.038986605142810764,0.2215098493233226,positive,-0.03740419690434003,0.03740419690434003,
adf_p,0.0554563957526256,0.06439526281767541,-0.22598570960485767,negative,-0.09264693913631118,0.09264693913631118,
ext_trend_strength,0.0545982262879241,0.022342933524823617,-0.002020086937091777,negative,-0.02707518595945306,0.02707518595945306,
ac_timescale,0.02662084146374853,0.059952673291481365,0.09271837357358752,positive,0.024474110451441964,0.024474110451441964,
ext_spectral_centroid,0.026176104888979545,0.028334863644869274,0.1579141734380965,positive,0.10085102530588747,0.10085102530588747,
sample_entropy,0.021601367615434963,0.0228841980174613,0.2515152831194672,positive,-0.0005082237214125268,0.0005082237214125268,
nl_gain,0.016639786811600756,0.031116999048689427,-0.22869261955331033,negative,-0.14882166740166128,0.14882166740166128,
dfa_alpha,0.016364244719217734,0.018277943938194024,-0.14673692016376977,negative,0.03861802197832154,0.03861802197832154,
perm_entropy,0.013453805115074305,0.011757299731277546,0.28546163134109465,positive,0.12733642005880538,0.12733642005880538,
r2_linear,0.01245062886751389,0.022497281735464118,-0.04188304240388754,negative,-0.0023452958671678764,0.0023452958671678764,
snr_db,0.012219619353305951,0.009232416127021123,0.06708306526077587,positive,0.021719904081423047,0.021719904081423047,
ext_arch_lm5,0.012048702723298695,0.01609968428995515,-0.20775694415669027,negative,-0.06272690913525236,0.06272690913525236,
mem_capacity,0.010067684646132235,0.0037321449411824715,-0.034047920336295556,negative,-0.03852752476900963,0.03852752476900963,
ami_first_min,0.007740249987011384,0.008867199574130583,-0.23085262171093615,negative,-0.005950681697790091,0.005950681697790091,
ext_lz_complexity,0.006425366647968197,0.0033511379384858157,0.17559329025321294,positive,-0.03601008283985389,0.03601008283985389,
pred_nrmse_gbm,0.004332374969094008,0.007430725201991925,0.03054853925073481,positive,0.0023146892272323622,0.0023146892272323622,
kpss_p,0.0027196395741813893,0.0054418463533079985,-0.027933883406767827,negative,0.01306252993833773,0.01306252993833773,
dom_freq,0.0022460508128207277,0.004097983837298657,0.08080262477519326,positive,-0.028013015131177946,0.028013015131177946,
ext_recurrence_rate,0.00029122753612521255,0.00017169116434622564,0.024415772735798143,positive,-0.0160951627488645,0.0160951627488645,
zero_one_K,0.00013616369262840072,0.012075282859750843,0.11646543612899564,positive,-0.05450746843518454,0.05450746843518454,
ext_changepoint_count,9.095410058197195e-05,0.01979550672280904,0.03300586187387494,positive,0.0008746532594012677,0.0008746532594012677,
ext_volatility_ac1,-0.0007611476420030849,0.018092109886238987,-0.16733636062551863,negative,0.023538686779983786,0.023538686779983786,
spectral_entropy,-0.0009457149023641632,0.008651217661925373,0.13527936858336764,positive,-0.016028585328279187,0.016028585328279187,
ext_recurrence_determinism,-0.021611865146635136,0.0357551719025468,-0.2285000377218739,negative,-0.01337248578042409,0.01337248578042409,
